model_name,architecture,activation,optimizer,model_size_mb,best_map50,best_map50_95,best_precision,best_recall,best_epoch,epochs,last_box_loss,last_cls_loss,last_dfl_loss
implementation-residual_elu_Adam,implementation-residual,elu,Adam,6.5916,0.8656,0.5764,0.7962,0.8696,93,100,1.6875,1.2126,1.503
implementation-residual_elu_LION,implementation-residual,elu,LION,6.5916,0.726,0.3528,0.6562,0.7678,93,100,2.1939,1.6773,1.4981
implementation-residual_elu_SGD,implementation-residual,elu,SGD,6.5916,0.8759,0.5961,0.8462,0.8843,81,100,1.6149,1.1922,1.5159
implementation-residual_selu_Adam,implementation-residual,selu,Adam,6.5916,0.8656,0.5764,0.7962,0.8696,93,100,1.6875,1.2126,1.503
implementation-residual_selu_LION,implementation-residual,selu,LION,6.5916,0.726,0.3528,0.6562,0.7678,93,100,2.1939,1.6773,1.4981
implementation-residual_selu_SGD,implementation-residual,selu,SGD,6.5916,0.8759,0.5961,0.8462,0.8843,81,100,1.6149,1.1922,1.5159
implementation-residual_silu_Adam,implementation-residual,silu,Adam,6.5916,0.8656,0.5764,0.7962,0.8696,93,100,1.6875,1.2126,1.503
implementation-residual_silu_LION,implementation-residual,silu,LION,6.5916,0.726,0.3528,0.6562,0.7678,93,100,2.1939,1.6773,1.4981
implementation-residual_silu_SGD,implementation-residual,silu,SGD,6.5916,0.8759,0.5961,0.8462,0.8843,81,100,1.6149,1.1922,1.5159
implementation-residual_sinlu_Adam,implementation-residual,sinlu,Adam,6.5916,0.8656,0.5764,0.7962,0.8696,93,100,1.6875,1.2126,1.503
implementation-residual_sinlu_LION2,implementation-residual,sinlu,LION,6.5916,0.726,0.3528,0.6562,0.7678,93,100,2.1939,1.6773,1.4981
implementation-residual_sinlu_SGD,implementation-residual,sinlu,SGD,6.5916,0.8759,0.5961,0.8462,0.8843,81,100,1.6149,1.1922,1.5159
implementation-residual_h_swish_Adam,implementation-residual_h,swish,Adam,6.5916,0.8656,0.5764,0.7962,0.8696,93,100,1.6875,1.2126,1.503
implementation-residual_h_swish_LION,implementation-residual_h,swish,LION,6.5916,0.726,0.3528,0.6562,0.7678,93,100,2.1939,1.6773,1.4981
implementation-residual_h_swish_SGD,implementation-residual_h,swish,SGD,6.5916,0.8759,0.5961,0.8462,0.8843,81,100,1.6149,1.1922,1.5159
implementation-residual_sinlu_pozitive_Adam,implementation-residual_sinlu,pozitive,Adam,6.5916,0.8656,0.5764,0.7962,0.8696,93,100,1.6875,1.2126,1.503
implementation-residual_sinlu_pozitive_LION,implementation-residual_sinlu,pozitive,LION,6.5916,0.726,0.3528,0.6562,0.7678,93,100,2.1939,1.6773,1.4981
implementation-residual_sinlu_pozitive_SGD,implementation-residual_sinlu,pozitive,SGD,6.5916,0.8759,0.5961,0.8462,0.8843,81,100,1.6149,1.1922,1.5159
implementation-t-cbam_elu_Adam,implementation-t-cbam,elu,Adam,7.5902,0.8542,0.5519,0.8148,0.8594,81,100,1.8242,1.3467,1.5658
implementation-t-cbam_elu_LION,implementation-t-cbam,elu,LION,7.5902,0.6266,0.1975,0.584,0.7273,85,100,2.3812,1.9928,1.8064
implementation-t-cbam_elu_SGD,implementation-t-cbam,elu,SGD,7.5902,0.8875,0.6265,0.8363,0.8869,94,100,1.7613,1.3646,1.6064
implementation-t-cbam_selu_Adam,implementation-t-cbam,selu,Adam,7.5902,0.8542,0.5519,0.8148,0.8594,81,100,1.8242,1.3467,1.5658
implementation-t-cbam_selu_LION,implementation-t-cbam,selu,LION,7.5902,0.6266,0.1975,0.584,0.7273,85,100,2.3812,1.9928,1.8064
implementation-t-cbam_selu_SGD,implementation-t-cbam,selu,SGD,7.5902,0.8875,0.6265,0.8363,0.8869,94,100,1.7613,1.3646,1.6064
implementation-t-cbam_silu_Adam,implementation-t-cbam,silu,Adam,7.5902,0.8542,0.5519,0.8148,0.8594,81,100,1.8242,1.3467,1.5658
implementation-t-cbam_silu_LION,implementation-t-cbam,silu,LION,7.5902,0.6266,0.1975,0.584,0.7273,85,100,2.3812,1.9928,1.8064
implementation-t-cbam_silu_SGD,implementation-t-cbam,silu,SGD,7.5902,0.8875,0.6265,0.8363,0.8869,94,100,1.7613,1.3646,1.6064
implementation-t-cbam_sinlu_Adam,implementation-t-cbam,sinlu,Adam,7.5902,0.8542,0.5519,0.8148,0.8594,81,100,1.8242,1.3467,1.5658
implementation-t-cbam_sinlu_LION,implementation-t-cbam,sinlu,LION,7.5902,0.6266,0.1975,0.584,0.7273,85,100,2.3812,1.9928,1.8064
implementation-t-cbam_sinlu_SGD,implementation-t-cbam,sinlu,SGD,7.5902,0.8875,0.6265,0.8363,0.8869,94,100,1.7613,1.3646,1.6064
implementation-t-cbam_h_swish_Adam2,implementation-t-cbam_h,swish,Adam,7.5902,0.8542,0.5519,0.8148,0.8594,81,100,1.8242,1.3467,1.5658
implementation-t-cbam_h_swish_LION,implementation-t-cbam_h,swish,LION,7.5902,0.6266,0.1975,0.584,0.7273,85,100,2.3812,1.9928,1.8064
implementation-t-cbam_h_swish_SGD2,implementation-t-cbam_h,swish,SGD,7.5902,0.8875,0.6265,0.8363,0.8869,94,100,1.7613,1.3646,1.6064
implementation-t-cbam_sinlu_pozitive_Adam,implementation-t-cbam_sinlu,pozitive,Adam,7.5902,0.8542,0.5519,0.8148,0.8594,81,100,1.8242,1.3467,1.5658
implementation-t-cbam_sinlu_pozitive_LION,implementation-t-cbam_sinlu,pozitive,LION,7.5902,0.6266,0.1975,0.584,0.7273,85,100,2.3812,1.9928,1.8064
implementation-t-cbam_sinlu_pozitive_SGD,implementation-t-cbam_sinlu,pozitive,SGD,7.5902,0.8875,0.6265,0.8363,0.8869,94,100,1.7613,1.3646,1.6064
implementation-t-mbconv_elu_Adam,implementation-t-mbconv,elu,Adam,6.7209,0.8522,0.5472,0.812,0.8235,92,100,1.6775,1.1909,1.5173
implementation-t-mbconv_elu_LION,implementation-t-mbconv,elu,LION,6.7209,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_elu_SGD,implementation-t-mbconv,elu,SGD,6.7209,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
implementation-t-mbconv_selu_Adam,implementation-t-mbconv,selu,Adam,6.7209,0.8522,0.5472,0.812,0.8235,92,100,1.6775,1.1909,1.5173
implementation-t-mbconv_selu_LION,implementation-t-mbconv,selu,LION,6.7209,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_selu_SGD,implementation-t-mbconv,selu,SGD,6.7209,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
