               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.4389,               5.471,              5.2522,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              6.7063,              4.6891,              4.7333,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              5.8842,              3.9459,              4.4467,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              5.4024,              3.6535,              4.2858,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              5.0289,              3.4778,              4.1003,             0.01036,             0.43939,            0.011659,           0.0036912,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              5.0522,              3.3287,              3.8359,          0.00088389,            0.012377,          0.00044955,          7.1691e-05,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              4.7854,              3.3923,              3.6795,            0.063504,             0.66631,            0.081507,                0.03,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,               4.637,               3.281,              3.6362,             0.59283,             0.21182,             0.12184,            0.040211,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              4.3689,              3.0778,              3.5283,             0.61284,             0.25369,             0.15982,             0.03683,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              3.9385,              2.9787,              3.3617,           0.0081636,           0.0073892,          0.00073788,           0.0001383,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              3.8869,              2.9081,               3.275,            0.018364,              0.3701,            0.013389,           0.0023046,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              3.8836,              2.9236,              3.1681,              0.1973,             0.43969,             0.17203,            0.058495,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              3.7926,              2.8034,              3.0467,            0.010177,             0.21185,           0.0062683,          0.00091066,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              3.9063,               2.772,              2.9783,           0.0010482,            0.022541,          0.00089514,          0.00015022,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              3.4427,              2.6418,              2.9115,             0.15716,             0.30111,             0.11296,            0.018933,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              3.4149,              2.7198,              2.8148,             0.53604,            0.014778,            0.002514,          0.00041441,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              3.5208,              2.8116,              2.6424,             0.44467,             0.45747,             0.41463,             0.12694,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              3.5219,              2.5245,              2.5776,             0.40172,             0.21441,            0.092841,              0.0149,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              3.3505,              2.5038,              2.5529,             0.29076,             0.60182,             0.41765,             0.12566,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              3.3191,              2.4243,              2.4359,            0.010956,             0.23137,           0.0094398,           0.0013084,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              3.1056,              2.3614,              2.5229,             0.50446,           0.0098522,           0.0013708,          0.00018537,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              3.1106,              2.3699,              2.4608,           0.0026165,            0.052782,           0.0021023,          0.00031486,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,              3.1356,              2.3722,              2.3644,           0.0056647,             0.12034,           0.0036139,          0.00064873,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              2.8609,              2.1816,              2.5053,             0.55402,           0.0098522,            0.003824,          0.00058678,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              2.8874,              2.2236,              2.2592,             0.71031,             0.45276,             0.68834,             0.34811,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              2.7951,              2.2097,              2.2338,              0.6047,             0.70199,              0.7191,             0.25879,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,               2.781,              2.0962,              2.1956,             0.67802,             0.77821,             0.75694,             0.41934,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              2.8249,              2.1299,               2.126,             0.74388,             0.76939,             0.76293,             0.35816,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              2.6638,              2.0036,              2.0933,              0.7313,             0.77518,             0.75726,             0.25712,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              2.7499,              1.9272,              2.0458,              0.6933,             0.80485,             0.77255,             0.42658,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              2.7038,              1.9077,              2.0933,             0.77493,             0.80162,             0.80204,             0.47535,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  31,              2.7701,              1.9397,              2.0045,             0.76067,             0.78689,             0.78016,             0.35167,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  32,               2.657,               1.823,              1.9662,             0.62601,            0.085859,            0.085843,            0.012176,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  33,              2.7124,              1.9154,              2.0381,             0.58651,             0.11616,            0.091203,            0.020323,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  34,              2.4908,              1.7853,              1.9105,              0.8355,             0.84003,             0.83698,              0.5308,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  35,              2.5185,              1.7542,               1.879,             0.81017,             0.82298,             0.81806,              0.4941,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  36,              2.4882,              1.7521,              1.8922,             0.81764,             0.84322,             0.83124,             0.47773,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  37,              2.4323,              1.7126,              1.8717,             0.80956,             0.77846,             0.81265,             0.44392,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  38,              2.4075,              1.7115,              1.8677,             0.56386,            0.040404,            0.032435,           0.0043427,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
