               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5383,              5.6183,              5.4039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.4717,              5.9534,              5.3935,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              7.4767,               5.674,              5.4249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,               7.511,              5.5144,              5.4036,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              7.4178,              5.4713,              5.3884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              7.6258,              5.6374,              5.4022,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              7.5974,              5.4725,              5.3382,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              7.4262,               5.456,              5.2833,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              7.2888,              5.3143,              5.2644,            0.002358,            0.037257,           0.0010716,          0.00024213,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              7.1488,              5.2323,              5.2436,           0.0019001,            0.039969,           0.0010054,          0.00014185,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              7.1998,              5.2025,              5.2447,           0.0043254,             0.10827,           0.0027633,          0.00035358,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              7.2907,              5.1957,              5.2109,            0.005199,            0.075695,           0.0023715,          0.00039007,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              7.0969,              5.0698,              5.1484,           0.0050059,             0.02519,           0.0029527,          0.00045599,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
