               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.7983,              4.8007,              4.6218,          0.00029762,            0.012315,          0.00015255,          3.6533e-05,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              5.4011,              4.1721,              3.8078,          0.00011905,           0.0050505,          6.0608e-05,          6.0608e-06,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              5.2242,              3.7974,              3.5289,          5.9524e-05,           0.0025253,          3.0163e-05,          3.0163e-06,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              5.0483,              3.4068,              3.3409,          0.00071429,            0.029557,          0.00038383,          5.3461e-05,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              4.7586,              3.2844,              3.3095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              4.8921,              3.1953,              3.1516,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              4.5367,              3.0228,              3.0645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              4.3866,              3.0203,               3.101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,               4.445,              2.9424,              3.1208,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              4.1632,               2.901,              3.0455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              4.1448,              2.8691,               3.057,            0.031171,             0.55664,            0.070212,            0.021815,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              4.1807,              2.8026,               3.026,             0.12058,             0.52495,             0.15093,            0.028523,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              4.0674,              2.6785,              2.9389,             0.15847,             0.40927,             0.17089,            0.047809,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              4.1871,              2.7053,              2.8667,             0.13606,             0.75857,             0.25903,            0.072157,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              3.9451,              2.6564,              2.9118,             0.11468,             0.85877,              0.2998,            0.081215,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              3.7098,              2.5727,              2.8466,              0.1636,             0.83623,             0.38405,             0.14113,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              3.9592,              2.6137,              2.7794,             0.13162,             0.94962,             0.36304,             0.10056,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              3.8997,              2.5841,              2.7209,            0.019451,             0.13967,            0.015681,           0.0028964,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              3.7438,              2.5092,              2.6998,              0.1568,             0.88922,             0.42188,             0.15123,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              3.6889,              2.4883,              2.6354,             0.17822,             0.59019,             0.31606,            0.079367,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,               3.475,              2.4096,              2.7265,             0.27963,             0.64678,             0.41165,             0.13199,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              3.5183,              2.4459,                2.72,             0.31742,              0.2348,             0.27821,            0.063095,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,               3.514,              2.3692,              2.6336,             0.26462,               0.497,              0.3282,             0.10658,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,               3.331,              2.3184,              2.8325,             0.30209,             0.78345,             0.48473,             0.15484,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              3.3291,              2.3109,              2.6085,             0.10819,             0.39031,               0.165,            0.029543,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              3.2708,              2.3365,               2.605,             0.21616,             0.35973,             0.29452,             0.07655,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              3.1828,              2.3091,              2.5786,             0.26895,             0.87771,             0.47322,             0.18229,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              3.2145,              2.2607,              2.5218,             0.63004,             0.49507,             0.46065,               0.192,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              3.1864,               2.196,              2.5591,             0.30611,             0.91919,             0.62316,             0.29248,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              3.2018,              2.1763,              2.5111,             0.65598,             0.28325,             0.26365,            0.042784,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
