               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5563,              5.6438,              5.3742,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.4876,               6.022,              5.3805,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              7.5067,                5.72,              5.3927,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              7.5323,               5.601,              5.4538,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,               7.418,              5.5821,              5.4728,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              7.6588,              5.8126,              5.4825,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,                7.65,              5.6687,              5.3893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              7.4874,              5.6123,              5.2914,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              7.3947,              5.4961,              5.3017,           0.0039968,           0.0074514,          0.00070816,          0.00010963,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              7.3689,              5.5057,              5.2913,           0.0017653,            0.032455,          0.00091324,           0.0001369,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              7.3601,              5.4237,              5.2322,           0.0016151,            0.030303,          0.00085116,          0.00011917,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              7.4574,              5.3797,              5.1818,           0.0050489,             0.02014,           0.0015593,           0.0003244,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              7.2757,              5.2883,              5.0949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              6.9184,                5.12,              5.0617,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              6.5235,              4.8785,              5.0141,           0.0087719,           0.0049261,           0.0044762,          0.00044762,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              6.2166,              4.4657,              4.7645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              6.4002,              4.7334,              4.6038,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              6.1231,              4.6003,              4.5101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              6.1173,              4.4004,              4.2998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,               5.829,              4.0298,              4.0515,             0.11682,             0.18912,              0.1046,            0.035863,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              5.3969,              3.9288,              4.1109,             0.11072,             0.39377,             0.11894,            0.046715,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              4.8782,              3.7937,              3.8613,              0.0969,             0.33907,             0.11924,            0.045621,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,                4.99,              3.7702,              3.6893,             0.18244,             0.67031,             0.21062,            0.087626,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              4.5718,              3.7421,              3.9006,             0.11109,             0.39485,             0.10191,            0.019494,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              4.6174,              3.6785,              3.5407,             0.15659,               0.294,             0.14734,            0.060836,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              4.4128,              3.8012,              3.5688,             0.16344,              0.2916,             0.16436,             0.06385,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              4.2745,               3.573,              3.3703,             0.13887,             0.59284,             0.16302,            0.056543,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,               4.071,              3.5396,               3.222,            0.055662,             0.95461,             0.18123,            0.065501,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              4.0928,              3.4473,              3.3079,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              3.8734,              3.1868,              3.0714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              3.9021,              3.1623,               3.096,             0.13897,             0.50193,             0.16986,            0.041944,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  31,              4.0601,              3.2261,              3.0852,              0.1569,             0.46312,             0.22521,            0.091214,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  32,              3.7044,              3.0962,              2.9313,             0.10457,             0.52718,             0.12484,            0.036418,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  33,              3.7501,              3.0636,              2.9744,             0.14617,             0.65435,             0.24523,            0.071102,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  34,              3.5492,              2.9627,              2.7751,             0.21716,             0.37691,             0.24343,             0.10385,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  35,              3.5283,              2.8868,              2.6861,          0.00099138,            0.019953,          0.00050569,          0.00012548,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  36,              3.3916,              2.8013,              2.6707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  37,              3.4352,              2.7866,              2.6927,           0.0065707,             0.13733,           0.0037511,          0.00066143,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  38,              3.3861,              2.7361,              2.6628,            0.065823,             0.29453,            0.070102,            0.021875,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  39,               3.214,              2.6581,              2.6142,             0.38157,             0.52138,             0.44676,             0.14528,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  40,              3.1489,              2.5755,              2.5034,              0.4183,              0.5332,              0.5835,             0.25357,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  41,              3.2329,              2.6647,              2.5511,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  42,              3.2404,              2.5222,              2.3802,            0.015865,             0.33359,            0.018964,           0.0046118,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  43,              3.0546,              2.4264,              2.3389,             0.16715,             0.45042,             0.17909,            0.051925,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  44,              2.8997,              2.3837,              2.3152,             0.51056,             0.62012,              0.4737,             0.16995,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  45,               2.995,              2.3663,              2.2867,             0.21553,             0.40491,             0.16902,            0.045285,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  46,              2.9467,              2.3603,              2.2702,             0.14434,             0.19844,             0.12038,            0.024177,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  47,              2.9236,              2.2954,              2.2718,             0.69699,             0.72467,             0.74536,             0.30162,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
