               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5879,              5.7093,              5.3762,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.5229,              6.1296,              5.3208,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070267,           0.0032673,           0.0032673
                   2,              7.5638,              5.8091,              5.2756,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054901,            0.004901,            0.004901
                   3,              7.6204,              5.6756,              5.2334,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039501,            0.006501,            0.006501
                   4,              7.5216,              5.6319,              5.2241,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024067,           0.0080674,           0.0080674
                   5,              7.7302,              5.8651,              5.2678,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   6,               7.723,              5.7158,              5.3203,          0.00016892,           0.0025253,          8.5049e-05,          8.5049e-06,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              7.5046,              5.6408,              5.2883,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              7.4554,              5.5512,              5.2487,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              7.5051,              5.5457,              5.2126,          0.00028399,           0.0050505,          0.00015455,          3.0783e-05,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,               7.469,              5.4529,              5.1761,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              7.4738,              5.2897,              5.0824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              7.0512,               5.031,              4.9332,              0.5122,           0.0025253,           0.0003472,          5.1933e-05,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              6.2809,              4.5098,              4.6529,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               5.981,              4.3537,              4.5494,          0.00013034,           0.0025253,          6.5644e-05,          6.5644e-06,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              5.5529,              3.9752,              4.1906,             0.17659,             0.19529,             0.10217,            0.026697,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              5.6642,              4.0485,              4.1235,             0.15416,           0.0024631,           0.0036204,           0.0011435,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              5.0642,              3.7468,              3.8983,             0.24541,             0.25634,             0.22295,            0.076853,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              4.7939,              3.6931,              3.7306,            0.033802,             0.65725,             0.18402,            0.031983,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              4.5223,              3.3273,              3.5038,           0.0019802,           0.0049261,           0.0010594,          0.00020887,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              4.2887,              3.2551,              3.5578,             0.10871,             0.24942,              0.0526,           0.0084716,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.9866,              3.3634,               3.444,            0.010916,            0.017304,           0.0027398,          0.00063986,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,               4.033,              3.0417,              3.2167,             0.15124,             0.54118,             0.13008,            0.035191,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.6242,              2.8881,              3.3866,              0.1467,             0.43352,             0.10961,            0.029628,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.6252,              2.7995,              3.0294,             0.12254,             0.40254,             0.10948,             0.02011,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.6095,              2.8389,                3.02,             0.31729,             0.48846,             0.32966,            0.072213,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.3585,               2.627,              2.8777,              0.2606,             0.58515,             0.25414,            0.094476,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.3108,              2.8314,              2.7812,             0.31656,             0.43416,             0.31799,            0.097054,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              3.1595,              2.5025,              2.7544,             0.40659,             0.41338,             0.39351,              0.1126,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              3.1183,              2.3691,              2.6249,             0.42033,             0.63849,              0.4646,             0.19049,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              3.1112,              2.3519,              2.6364,             0.47822,             0.50759,             0.51634,             0.21332,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              3.0442,              2.3085,              2.5085,             0.33739,             0.47292,             0.31976,            0.084434,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.9241,              2.1738,              2.4533,             0.35341,             0.51592,             0.33482,            0.089544,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.9048,              2.2245,              2.4589,             0.47942,             0.55886,             0.50867,             0.21336,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.7998,              2.1002,              2.3403,             0.66714,              0.6865,             0.68897,             0.33362,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.8891,              2.1638,              2.3278,             0.50922,              0.6452,             0.50453,             0.19048,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.7894,              2.0621,              2.3291,              0.7418,             0.77871,             0.77962,             0.47072,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.7002,              1.9852,               2.267,             0.71955,             0.82101,             0.77291,             0.44271,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.6282,              1.9642,              2.2388,             0.59932,             0.58366,              0.6159,             0.33558,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.4517,               1.856,              2.1706,             0.79555,             0.84043,              0.8055,             0.46738,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.5117,              1.8339,               2.159,             0.79332,             0.82404,             0.80639,             0.45069,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.4532,              1.7997,              2.1086,             0.79814,             0.82045,             0.83392,             0.49742,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.6123,              1.8834,              2.0608,             0.81647,             0.82229,             0.83207,             0.45526,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.4106,               1.739,              2.0119,             0.78368,             0.81569,             0.81594,             0.46294,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.3244,              1.7421,              2.0082,              0.7866,             0.79997,             0.81945,             0.44282,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.4481,              1.7668,              2.0024,             0.80304,             0.83685,             0.83055,             0.50077,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.4352,              1.7362,              2.0063,             0.78423,             0.82981,             0.82479,              0.4882,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.3625,              1.6847,              1.9978,             0.81776,              0.8217,             0.82271,              0.5246,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.4512,              1.6786,              1.9488,             0.74695,              0.8068,             0.80708,             0.50247,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.2788,              1.6006,              1.9413,             0.75497,             0.82469,              0.8131,             0.51143,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.3689,              1.6834,              1.9585,             0.81432,             0.79159,             0.81346,             0.51181,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.3664,              1.7232,              1.9034,             0.80369,             0.79051,             0.81251,              0.5107,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.2954,              1.5664,              1.8438,              0.7565,             0.71498,             0.77632,             0.46659,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.1637,              1.5403,              1.8171,             0.83052,                0.82,             0.82754,             0.49044,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.2467,               1.577,              1.8281,             0.80171,             0.75554,             0.82849,             0.52568,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.0588,              1.5106,              1.8375,             0.82212,             0.81305,              0.8327,              0.5362,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.1238,               1.576,               1.829,             0.82255,             0.83396,             0.84044,             0.55124,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.1714,              1.6054,              1.8066,             0.84429,             0.83408,             0.85915,             0.54373,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.0805,               1.459,              1.7958,             0.80586,             0.77902,             0.84009,              0.5273,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.1111,              1.4848,               1.745,              0.8223,             0.71573,             0.82603,             0.53705,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.0057,              1.4387,               1.751,             0.80772,             0.84197,             0.84911,             0.56181,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.0505,              1.4792,              1.8271,             0.81345,             0.84907,             0.85449,              0.5804,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.0837,              1.4488,              1.6916,             0.84485,             0.83685,             0.86129,             0.58371,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.9598,              1.3852,              1.7049,             0.84199,             0.83427,             0.86191,             0.59445,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.0066,              1.3938,              1.6496,             0.84278,             0.85182,             0.86386,             0.58751,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.1853,              1.7189,              1.7221,             0.81274,             0.83876,              0.8525,             0.56616,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              2.0389,              1.4934,              1.6952,             0.84967,             0.83445,             0.85697,             0.56627,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.9717,              1.3905,              1.6764,             0.84388,             0.84683,             0.86263,             0.60551,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,               1.968,              1.3713,              1.7151,             0.82011,             0.84702,             0.85684,             0.60221,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.9109,              1.3265,              1.6336,             0.82302,             0.81277,             0.85589,              0.5763,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.9394,              1.3478,              1.6423,             0.83528,             0.85415,             0.85601,             0.59386,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.9998,              1.3721,               1.572,             0.86132,             0.83751,             0.86275,             0.60307,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.0369,              1.3981,              1.6139,             0.87371,              0.8373,             0.86167,              0.6021,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.9826,              1.3717,              1.6522,             0.86822,             0.85176,             0.86745,             0.59004,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.9791,              1.3713,              1.5836,             0.86212,             0.85529,             0.86971,             0.58468,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.9037,              1.3304,              1.6329,             0.87593,             0.84817,             0.86933,             0.58125,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.9378,              1.3741,              1.6255,             0.86383,             0.83856,             0.86583,             0.59325,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.9205,              1.3478,              1.5696,              0.8447,             0.84524,             0.86398,             0.59423,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.9137,              1.3286,              1.6044,             0.83507,             0.85459,             0.85823,              0.5997,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.8976,              1.3067,              1.6227,             0.85569,             0.84923,             0.86839,             0.60628,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,                1.93,              1.3457,              1.5862,             0.84993,              0.8473,             0.87548,             0.61253,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.8564,              1.3054,              1.5951,             0.85945,             0.84929,             0.86343,              0.5985,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.7622,              1.2466,              1.6074,             0.86223,              0.8582,             0.87764,             0.61614,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.7262,              1.2199,              1.5481,             0.85502,             0.86097,             0.87926,             0.61697,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.8824,              1.3534,               1.662,             0.86061,             0.85276,             0.87942,             0.60262,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
