               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5739,               5.783,              5.4699,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              7.7362,              6.4955,              5.4432,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              7.7795,              6.1017,              5.5286,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              7.5495,              5.8093,              5.5257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              7.3983,              5.8768,              5.6031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              7.6522,              5.8238,               5.582,          0.00035765,           0.0049261,          0.00018581,          5.5702e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              7.5596,              5.6781,              5.5502,          0.00035515,           0.0073892,          0.00018046,          4.7598e-05,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,                7.46,              5.8241,              5.4876,          0.00013767,           0.0024631,          6.9186e-05,          0.00014569,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              7.3504,              5.4941,              5.5171,           0.0011886,            0.032082,           0.0006719,          0.00012922,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,               7.424,              6.9791,              5.5222,           0.0025262,              0.0593,           0.0014188,          0.00027036,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              7.2974,              5.3626,              5.5162,           0.0052961,             0.12827,           0.0033533,          0.00049222,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              7.1538,              5.3072,              5.4175,           0.0080234,            0.059238,           0.0035811,           0.0006641,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              7.2631,              6.8079,              5.2901,           0.0024156,            0.056899,           0.0013053,          0.00017339,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              6.8371,              5.4684,              5.2171,           0.0028053,            0.059424,           0.0016537,          0.00027695,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               6.406,              4.6345,              5.0145,            0.018667,            0.077412,            0.010331,            0.001985,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,               6.244,              4.4287,              4.6705,            0.028202,             0.44773,            0.025428,           0.0068754,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              5.8788,              4.9348,              4.3283,            0.040313,            0.074638,            0.021771,           0.0062029,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,               5.439,              4.7351,              4.1288,            0.019681,              0.1369,            0.012765,           0.0044618,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              5.1307,              5.1559,              3.9568,            0.050693,             0.15271,            0.053005,            0.013059,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              5.0569,              3.8707,              3.7174,            0.075479,             0.34417,            0.066519,            0.021402,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               4.676,              3.4937,              3.6496,            0.063624,             0.41063,            0.048323,            0.016242,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              4.5136,              3.7471,              3.5234,             0.03788,             0.76855,            0.042428,            0.015439,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              4.2721,              3.2507,              3.3895,            0.082982,             0.50027,            0.084665,            0.031756,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              4.0307,              3.1565,               3.412,             0.15585,             0.24705,             0.11545,            0.033072,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.8326,              3.5982,              3.2297,           0.0084265,             0.17453,           0.0056549,          0.00074164,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.7793,              3.2846,              3.2184,             0.10187,              0.3553,            0.089103,            0.028657,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.6085,              2.9055,              3.0267,             0.24011,             0.46912,             0.19372,            0.059208,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.6428,              2.9216,              2.9239,             0.34417,             0.38221,             0.21812,            0.056707,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              3.5032,              2.6971,              2.7858,             0.39151,             0.48612,             0.32946,             0.10299,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,               3.401,              2.9883,              2.7824,            0.045638,             0.95227,              0.2356,            0.067567,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
