               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.6045,              5.7176,              5.4283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.5464,              6.1657,              5.4527,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070267,           0.0032673,           0.0032673
                   2,              7.6059,              5.8373,              5.5109,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054901,            0.004901,            0.004901
                   3,              7.6388,              5.6959,              5.5366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039501,            0.006501,            0.006501
                   4,              7.5756,               5.694,              5.6128,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024067,           0.0080674,           0.0080674
                   5,              7.8007,              5.9623,              5.7169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   6,              7.7811,               5.788,              5.7616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              7.5516,              5.6862,              5.6531,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,                7.47,               5.542,              5.5822,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              7.4742,              5.5135,              5.4489,          0.00097847,           0.0024631,          0.00049628,          4.9628e-05,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              7.3548,              5.2885,              5.3575,             0.29808,           0.0024631,           0.0040061,           0.0011801,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              7.2582,              5.1508,              5.2139,          8.7321e-05,           0.0025253,           4.457e-05,           4.457e-06,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              6.9536,              4.9143,              5.0285,          0.00092224,           0.0049883,          0.00046571,          7.3808e-05,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
