               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.4076,              6.9972,              5.2978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070455,           0.0032828,           0.0032828
                   1,              7.3513,              7.3105,              5.3266,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040389,           0.0065507,           0.0065507
                   2,              7.2377,                7.51,              5.1966,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010258,           0.0097525,           0.0097525
                   3,              7.5133,              7.7295,              5.1637,           0.0013169,           0.0049883,          0.00047447,          4.7447e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              7.2618,               7.415,              5.1457,          0.00088841,           0.0024631,          0.00016455,          2.0442e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              7.3446,              7.2496,              5.1829,          9.2251e-05,           0.0025253,          4.6498e-05,          4.6498e-06,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              7.1007,              7.1698,              5.0802,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              7.0547,                 7.8,               4.843,           0.0049199,           0.0073892,          0.00041251,          4.1251e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              6.9613,              7.2316,              4.8909,          0.00062093,           0.0024631,          8.3089e-05,          2.4927e-05,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              7.1371,              8.0857,              4.8443,           0.0012271,           0.0075136,          0.00037901,          5.2811e-05,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              6.9673,              7.2825,              4.7555,           0.0029862,            0.056712,           0.0016578,          0.00022763,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              7.2141,              6.9716,              4.8865,           0.0030412,           0.0025253,           0.0002173,          2.8661e-05,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,               6.969,              7.3523,              4.7563,            0.016084,           0.0099144,           0.0010196,          0.00019205,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              7.3924,              6.9605,              4.9442,           0.0034096,           0.0049883,          0.00049388,          7.8897e-05,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              7.2428,              6.5115,              4.8887,             0.02071,            0.096246,           0.0089968,           0.0020144,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              7.2956,              6.2712,              4.8029,           0.0066388,            0.012502,           0.0016703,          0.00029532,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,               7.045,              6.6544,              4.6689,            0.014167,             0.18111,           0.0090491,           0.0029077,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              6.9132,              6.2633,              4.6835,           0.0099098,             0.17225,           0.0061579,           0.0017625,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              6.3521,              6.6928,              4.4538,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              5.8894,              5.1898,              4.3343,           0.0082909,             0.17384,           0.0078831,           0.0020893,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               5.729,              5.0015,              4.3368,            0.016063,              0.3113,            0.022981,           0.0042039,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               5.387,              5.0417,              3.9502,             0.01619,             0.36185,             0.01377,           0.0037944,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              5.2535,              5.0157,              4.0536,            0.034408,             0.71682,            0.063694,            0.016323,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              5.1373,              4.2918,              4.1031,            0.039005,             0.81678,            0.082327,            0.023729,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              4.9242,              4.2443,                3.71,            0.035245,             0.73678,            0.076125,            0.019791,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              4.6952,              4.2521,              3.7598,            0.036824,             0.69915,            0.055625,            0.016983,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              4.6341,              4.0372,              3.5557,            0.025522,              0.5345,            0.024627,           0.0061922,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              4.3128,              4.1934,               3.548,            0.064136,             0.24989,            0.056052,            0.017122,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              4.1517,              3.5295,              3.4468,             0.18345,             0.32914,             0.16084,            0.042707,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              4.2373,              3.5852,              3.2974,           0.0079516,             0.17132,           0.0052549,           0.0011059,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              4.1722,              3.4248,              3.1834,             0.15429,             0.12837,            0.054404,            0.016323,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              4.0511,              3.0947,              3.0648,             0.28377,             0.47957,             0.22382,            0.082911,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,               3.821,              3.0453,                3.08,             0.52319,            0.046798,           0.0098015,           0.0020324,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              3.6997,              3.9691,              3.0341,            0.017167,             0.35411,            0.012929,           0.0028792,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              3.4628,              3.5376,              2.8981,           0.0066428,             0.15579,           0.0041538,          0.00098509,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              3.5772,              3.1723,               2.883,             0.78735,             0.38916,             0.43404,             0.15981,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              3.4235,              2.7754,              2.7791,             0.52543,             0.61987,             0.53882,             0.21881,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              3.3463,              2.9316,              2.7238,           0.0071293,             0.14712,           0.0041052,          0.00071568,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,               3.405,              3.0188,              2.6947,             0.35992,             0.27549,             0.20176,             0.04533,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              3.2205,              2.7255,              2.5568,             0.01679,             0.34666,            0.015323,           0.0026371,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              3.1977,              2.6468,              2.5239,           0.0047066,             0.10635,           0.0028638,          0.00047923,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              3.1602,                2.51,              2.5819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              3.1116,              2.4792,              2.4883,            0.031398,             0.20882,            0.038001,           0.0087233,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              3.0661,              2.4188,              2.5007,             0.29423,             0.22245,             0.15242,            0.024693,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.9165,               2.678,              2.3795,            0.010687,             0.18918,           0.0069563,            0.001265,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              3.1916,              2.3036,               2.343,             0.76199,             0.67549,             0.72612,             0.33324,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.8522,              2.2385,               2.354,           0.0017705,            0.037506,            0.000934,          0.00016259,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.8777,              2.3044,              2.4236,             0.75716,             0.65751,             0.70632,             0.29114,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.9227,               2.389,              2.3833,             0.74557,             0.71751,             0.75943,                0.34,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.8385,              2.2206,              2.3019,             0.71868,             0.67542,             0.73213,             0.43587,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,               2.865,              2.2934,              2.3823,              0.5487,             0.46747,             0.56259,             0.29348,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.8931,              2.2812,              2.2921,             0.66337,              0.6178,             0.64873,             0.32557,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.7402,              2.0312,              2.2234,             0.66455,              0.5745,             0.63948,             0.32514,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.6743,              1.9419,              2.1668,             0.57532,             0.33103,             0.40946,             0.19287,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.5567,              1.8502,              2.1469,             0.68138,             0.58867,             0.65881,             0.30167,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.5607,              1.8851,              2.1245,             0.79917,             0.81628,             0.84298,             0.46029,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.5602,               1.894,              2.1348,             0.72773,             0.14151,             0.15712,            0.050036,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.6267,              1.8546,              2.0929,             0.66684,             0.53088,             0.67769,             0.37251,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.5575,              1.8214,              2.0024,             0.82171,             0.82189,             0.82912,             0.50895,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.6039,              1.9291,              2.0789,             0.78407,             0.38547,             0.53332,             0.26553,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.4867,              1.9011,              2.0857,            0.062389,            0.078283,            0.061255,            0.016707,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.4932,              1.9193,              2.0862,             0.64635,              0.4794,             0.57213,             0.29496,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,                2.58,              1.9333,              2.0861,             0.51317,             0.15152,           0.0087824,            0.001277,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.6445,              2.0092,              2.0136,             0.70172,             0.63051,               0.744,             0.39371,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.5561,                1.82,              1.9553,             0.76303,             0.69755,             0.74577,             0.42504,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,               2.384,              2.1922,              1.9517,              0.7883,             0.77626,             0.81465,             0.38342,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,               2.491,              1.9934,              1.9499,             0.63768,             0.10354,             0.11575,            0.023788,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.3671,              1.7681,              1.9844,             0.72105,              0.8125,             0.82264,              0.4806,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.3768,              1.7936,              1.9315,             0.81352,             0.74348,             0.81135,             0.44974,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.2299,              1.6203,              1.9295,             0.72304,             0.41733,             0.55307,             0.22504,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              2.2481,              1.6282,              1.9207,             0.71793,             0.66361,              0.7691,             0.37553,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.3728,              1.7374,              1.8456,             0.83174,              0.8342,             0.85274,              0.5162,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.2778,              1.6663,              1.9119,             0.74796,             0.67738,             0.76449,             0.34773,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              2.2572,              1.5972,              1.8024,             0.78765,             0.82016,             0.81373,             0.39913,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              2.2636,              1.6694,              1.8638,             0.81467,             0.81961,             0.84568,              0.4988,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              2.1931,              1.5453,               1.776,             0.64357,             0.67524,             0.75687,             0.38246,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              2.2334,              1.5799,              1.7912,             0.70053,             0.70706,             0.78764,             0.43088,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              2.2567,               1.643,              1.8556,             0.70313,             0.65977,             0.73648,             0.34519,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              2.2969,              1.6577,              1.9289,              0.7511,             0.77252,             0.81346,             0.40553,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              2.1945,              1.5917,              1.8819,             0.80926,             0.85658,             0.85094,             0.55079,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,               2.146,              1.5687,              1.8092,             0.79069,             0.85207,             0.85144,             0.54695,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              2.4326,              1.6734,              1.7638,             0.75096,             0.71111,             0.81373,             0.47552,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              2.0853,              1.5137,              1.8469,             0.68427,             0.50989,             0.65486,             0.31347,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              2.1455,              1.5712,              1.7258,             0.81147,             0.80061,             0.84103,             0.50602,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              2.1601,              1.6528,              1.8702,             0.56911,            0.075758,            0.049755,            0.011111,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.9528,              1.5456,              1.7842,             0.81967,             0.86999,             0.86975,             0.54407,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.9839,              1.5974,              1.8244,             0.82166,             0.88171,             0.87535,             0.56188,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.9603,              1.5123,              1.8294,             0.79198,             0.74261,             0.81107,             0.47504,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,               1.901,              1.4651,              1.8402,             0.79081,             0.72861,                0.81,             0.47386,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.7631,              1.3721,              1.7816,             0.74073,              0.6592,             0.76202,             0.40297,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              2.0168,              1.5375,              1.7282,               0.757,             0.65791,             0.77933,             0.42569,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.9708,              1.5007,              1.7545,             0.77105,             0.76263,             0.82396,             0.46944,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.8648,              1.4519,              1.7998,             0.79154,             0.77085,             0.82669,              0.4352,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.8195,               1.421,              1.7653,             0.78771,              0.7153,             0.82241,             0.43759,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.8673,               1.454,              1.7277,             0.81011,             0.78818,             0.84082,             0.46613,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.9098,              1.4496,              1.6544,             0.77626,             0.69574,             0.80095,             0.39074,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.7648,               1.374,               1.733,             0.80305,             0.82388,             0.84031,             0.47205,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.7782,              1.3523,              1.6736,             0.80931,             0.79702,             0.83711,             0.45347,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.8557,              1.4376,              1.7319,             0.76138,             0.80414,             0.82497,             0.43398,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
