               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5689,              5.6088,               5.393,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.5071,              5.9793,              5.3981,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              7.5278,              5.7487,                5.47,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              7.5643,              5.5844,              5.4698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              7.4667,              5.5441,              5.4883,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              7.6725,               5.745,              5.5031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              7.6642,              5.6153,              5.3959,           0.0014183,            0.024817,          0.00073517,          0.00013041,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              7.4634,              5.5379,              5.3395,           0.0044018,            0.091942,           0.0031951,          0.00053033,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              7.3978,              5.4367,              5.3095,           0.0004217,           0.0073892,          0.00023335,          2.3335e-05,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              7.4024,               5.435,              5.2883,          0.00011956,           0.0025253,          6.2755e-05,          6.2755e-06,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              7.3839,              5.3916,               5.266,          0.00020492,           0.0050505,          0.00010436,          1.5599e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              7.5478,              5.4737,              5.2462,          0.00083292,            0.017428,          0.00043334,          4.9355e-05,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              7.4949,              5.4776,              5.1903,           0.0034501,            0.095835,           0.0025957,          0.00043607,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              7.2561,              5.3407,              5.1574,           0.0017508,             0.04533,          0.00096469,          0.00018422,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              6.9889,               4.974,              5.0983,          0.00089372,            0.020078,          0.00045874,          6.3605e-05,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              6.9943,              4.7666,              4.9879,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              6.8366,              4.7978,              4.9509,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              6.5413,              4.5277,              4.8438,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              6.4858,              4.5001,              4.7151,          0.00016918,           0.0049261,          0.00013265,          1.3265e-05,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              6.1444,              4.2347,              4.5383,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              5.6636,              4.2132,              4.5104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              5.3444,               4.012,              4.3349,           0.0067753,            0.022665,           0.0012319,          0.00018753,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,              5.4536,              3.9021,              4.1636,            0.016225,             0.13384,             0.01439,           0.0026467,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              5.1698,              3.8959,               4.236,             0.52231,             0.26768,            0.023506,           0.0068165,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              5.2111,               3.835,              3.9407,            0.071933,              0.6169,            0.082773,            0.026516,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              5.0179,              3.8102,              3.8681,            0.048363,             0.87879,            0.089625,            0.034022,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              4.9829,              3.6551,               3.746,            0.025869,             0.46834,            0.045603,            0.011095,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              4.8758,              3.7843,              3.6351,            0.041946,             0.82897,             0.07029,            0.018166,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              4.8417,              3.7111,               3.678,            0.040147,             0.74522,            0.057404,            0.014109,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              4.5526,              3.5556,              3.4629,            0.046174,             0.80864,            0.058307,            0.014432,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              4.5045,              3.5821,              3.4378,            0.013085,             0.27392,            0.019709,           0.0029003,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  31,              4.4428,              3.5961,              3.2714,            0.027931,             0.53478,            0.024541,            0.006112,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  32,               4.403,              3.4792,              3.2272,            0.037025,             0.74208,            0.040491,            0.012538,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  33,              4.3209,              3.5702,              3.2395,           0.0014155,            0.022727,          0.00074128,          0.00010612,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  34,              4.1466,              3.4237,              3.0839,            0.019214,             0.39124,            0.027265,           0.0052217,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  35,              4.1409,              3.4792,              2.9777,            0.021613,               0.252,            0.017881,           0.0036331,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  36,              4.0279,              3.3772,              2.9727,             0.10254,             0.61244,             0.12881,            0.056851,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  37,              3.9482,              3.2265,              2.9291,             0.10889,             0.66835,             0.16603,            0.072367,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  38,              3.8891,              3.2368,              2.9256,            0.083748,             0.76122,             0.12641,            0.033892,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  39,              3.7702,              3.1946,              2.9445,            0.076549,             0.62382,             0.10081,            0.024029,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  40,              3.6369,              3.0379,              2.7982,            0.064019,             0.44313,            0.084122,            0.030144,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  41,              3.6075,               2.985,              2.7328,            0.034781,             0.72546,            0.038702,            0.013783,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  42,              3.7726,              3.1029,              2.6521,            0.028921,             0.59311,            0.027153,            0.010457,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  43,              3.5939,              2.9223,               2.607,            0.045928,             0.89961,            0.075589,            0.028703,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  44,              3.5612,              2.9143,              2.6196,            0.043343,             0.78962,            0.083253,            0.021094,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  45,              3.6009,              2.9339,              2.5524,            0.062662,             0.81364,             0.15723,            0.055707,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  46,              3.5238,              2.8862,              2.5233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  47,              3.3938,              2.8899,              2.5364,             0.17502,             0.59904,             0.23475,            0.092163,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  48,              3.4157,              2.8078,               2.367,             0.15991,             0.49719,             0.21216,            0.080014,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  49,              3.4005,              2.8145,              2.4962,             0.22908,             0.49031,             0.28712,             0.10997,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  50,              3.4869,              2.8993,              2.5117,             0.24002,             0.33756,             0.31183,             0.12365,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                  51,              3.4751,              2.8405,               2.391,             0.41352,             0.57796,             0.43405,              0.1612,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  52,              3.3321,              2.6253,              2.3035,             0.34592,             0.44182,             0.37054,             0.16695,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  53,                3.28,              2.6923,              2.3397,             0.13737,             0.52737,              0.2178,            0.072205,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                  54,              3.3042,              2.6973,              2.3415,              0.7621,             0.34464,             0.38813,              0.1191,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                  55,              3.1862,              2.6372,              2.3879,             0.32967,             0.40008,             0.39151,             0.13538,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  56,              3.2131,              2.6828,              2.3773,             0.39537,             0.56893,             0.45651,             0.11638,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  57,              3.1744,              2.6585,              2.3026,             0.39912,             0.43608,             0.41642,             0.13165,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                  58,              3.0799,              2.5532,              2.3294,             0.39064,             0.70297,             0.58754,             0.23656,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  59,               3.177,              2.4876,               2.246,             0.47817,             0.64287,             0.58067,             0.24095,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                  60,              2.9881,              2.3867,              2.2465,             0.47643,              0.6122,             0.54431,             0.23846,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                  61,              3.0288,              2.5127,               2.334,             0.51686,              0.6546,             0.58752,             0.28714,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  62,               3.063,              2.4309,              2.1215,             0.51866,             0.67062,             0.58625,             0.30206,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                  63,              2.9166,              2.3634,               2.175,             0.57759,             0.65787,             0.62502,             0.27031,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                  64,              2.9308,              2.2963,              2.0643,             0.48333,             0.62573,             0.51182,              0.2158,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  65,              2.8759,               2.419,               2.036,             0.55374,             0.67148,             0.59013,              0.3027,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                  66,              2.8209,              2.2895,              2.0963,             0.53511,             0.60733,             0.52262,             0.20142,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  67,              2.8385,              2.2138,              2.0618,             0.56767,             0.67106,             0.62529,                0.32,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  68,               2.767,              2.2306,              2.0881,              0.6707,             0.70909,              0.6981,             0.33612,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                  69,              2.6395,               2.122,              1.9749,             0.48232,             0.75498,             0.69013,             0.35821,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                  70,              2.7222,              2.1159,              1.9876,             0.70112,             0.68336,              0.7242,             0.39118,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  71,               2.685,              2.0991,              1.8713,             0.64467,                0.72,             0.72915,             0.40146,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  72,              2.7472,                2.12,                1.92,             0.78158,             0.75893,             0.78563,             0.37888,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
