               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               7.529,              5.6383,               5.418,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.4329,              5.8958,              5.4069,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              7.4345,              5.5247,              5.3361,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              7.3814,              5.2776,              5.2907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              7.1597,              5.1141,              5.2436,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              7.3264,              5.1218,              5.1154,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              7.1174,              4.8732,               5.045,             0.02287,             0.40025,            0.020309,           0.0034382,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,               6.746,              4.7604,               4.952,           0.0075877,             0.28535,           0.0082046,           0.0016022,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              6.2022,              4.4162,               4.841,           0.0041357,             0.11086,           0.0024063,          0.00043539,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              5.7986,              4.1963,              4.6968,           0.0061855,             0.13574,            0.003733,          0.00082871,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              5.6519,              4.0451,              4.6023,            0.011837,              0.3964,            0.013907,           0.0035502,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,               5.325,              3.7811,              4.3805,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              5.0842,               3.803,              4.2298,            0.010008,             0.17929,           0.0088824,           0.0022075,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,                4.86,              3.5298,              4.0447,            0.014451,            0.019829,           0.0021078,          0.00025287,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              4.5425,              3.3817,              3.9423,           0.0017846,            0.014841,          0.00053679,          7.9484e-05,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              4.0858,              3.1126,              3.6108,            0.026045,             0.47867,            0.019529,            0.003798,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              4.2921,              3.3602,              3.5283,            0.027578,             0.53494,             0.02451,            0.004618,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              4.1514,              3.0628,               3.395,            0.072119,             0.64475,            0.077058,            0.017531,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
