               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5192,              5.5835,              5.4298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.2707,              5.4614,              5.2347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              6.9011,              4.8807,              5.0479,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,               6.231,              4.3309,              4.7837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              5.5592,                   4,              4.5405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,               5.567,               3.846,              4.2621,            0.029284,              0.5259,            0.024799,           0.0079222,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              5.0417,              3.8471,              4.0419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              4.5768,              3.6955,              3.8806,          0.00042301,           0.0024631,          0.00021384,          4.2643e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              4.5215,              3.3003,              3.7485,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              4.1075,              3.2641,              3.5091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              4.0094,              3.3079,              3.3333,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              3.8857,              3.1203,              3.1687,            0.004597,             0.02993,           0.0029099,          0.00044103,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              3.7894,              2.9949,              3.0281,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              3.7438,              2.9575,              2.9191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              3.4727,              2.7917,              2.8471,            0.011905,           0.0024631,           0.0061493,          0.00061493,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              3.3485,              2.7643,              2.7034,            0.008897,            0.092812,            0.011123,           0.0014367,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              3.5573,              3.4856,              2.6846,              0.5884,           0.0058616,           0.0060399,           0.0017902,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,               3.343,              2.6767,               2.549,            0.023836,             0.39464,            0.094708,            0.019396,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              3.1824,              2.7747,              2.5017,             0.40738,             0.67246,             0.39621,             0.10275,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              3.3067,              2.5338,              2.4623,            0.022521,            0.040155,            0.016182,            0.003024,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              3.0631,              2.4144,              2.5094,              0.1219,            0.093123,            0.090963,            0.014169,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              3.0945,              2.4419,              2.4537,             0.46264,             0.61609,             0.54354,             0.20839,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,              3.1066,              2.5203,              2.3433,             0.62162,             0.71835,             0.62815,             0.29598,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              2.8241,              2.3389,              2.4484,             0.37503,             0.61051,             0.31534,            0.077444,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              2.8981,              2.3446,              2.2531,            0.020564,             0.25221,            0.013173,           0.0024189,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              2.8874,              2.2959,              2.2553,             0.12885,            0.098112,             0.06589,            0.010258,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              2.7171,               2.349,              2.1599,              0.6126,             0.70745,             0.71585,             0.39974,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              2.8087,              2.3355,               2.127,             0.63955,             0.64172,             0.65666,             0.36311,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              2.7054,              2.1449,              2.1059,             0.72154,             0.18687,             0.16985,            0.029157,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              2.6851,              2.1083,              2.0361,             0.66624,             0.69188,             0.77282,             0.46186,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              2.7477,              2.1033,              2.0895,             0.59236,             0.72488,             0.76921,             0.46195,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  31,              2.8136,              2.0417,              2.0148,              0.6141,             0.67045,             0.73067,             0.34402,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  32,              2.6255,              1.8873,              1.9346,            0.085571,             0.10859,            0.051492,           0.0084203,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  33,               2.674,              2.0036,               1.986,             0.45516,             0.25951,               0.359,             0.11964,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
