               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5662,              5.6121,              5.3916,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.4823,              5.9799,              5.4391,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              7.5091,              5.7052,              5.4817,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              7.5399,              5.5808,               5.498,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              7.4628,              5.5664,              5.4398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,               7.701,              5.8017,              5.3904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              7.6782,              5.6413,              5.3651,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              7.4706,              5.5625,              5.3756,          0.00028252,           0.0073892,          0.00014204,          2.8298e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              7.3883,              5.4506,              5.3635,          0.00059782,            0.012377,          0.00030499,          4.8592e-05,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              7.4296,              5.4163,              5.3306,           0.0011115,            0.022541,          0.00069132,          9.8395e-05,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              7.3922,              5.3835,              5.2739,           0.0016592,            0.032579,           0.0016561,          0.00048463,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              7.4224,              5.2982,              5.2613,          0.00035119,           0.0074514,          0.00019538,          1.9538e-05,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              7.3564,              5.2722,              5.1798,           0.0018046,            0.034856,           0.0009735,           0.0001114,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              7.2233,              5.2027,              5.1165,              0.0006,           0.0075758,          0.00017593,          1.7593e-05,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              6.9065,              4.8156,              5.0539,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              6.7539,              4.6099,              4.9413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              6.7016,              4.6256,              4.8421,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              6.2806,              4.3383,              4.7258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              6.1579,              4.2297,               4.622,          0.00082089,           0.0025253,          0.00013194,          2.4698e-05,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              5.9546,               4.042,              4.4354,          0.00020743,           0.0049261,          0.00010951,          2.2243e-05,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
