               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.3535,              5.5437,              5.2739,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              6.4267,               4.601,              4.6904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,              5.5632,              3.8485,              4.2786,          0.00014637,           0.0050505,          7.4165e-05,          7.4165e-06,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              5.0961,              3.4773,              4.0431,            0.016508,             0.20636,            0.011568,           0.0015526,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              5.0812,              3.6284,               3.993,            0.031984,             0.61366,            0.043801,           0.0082772,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              5.3087,              3.5273,              3.8225,           0.0040384,            0.082587,           0.0025505,          0.00030097,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              4.8708,              3.3037,              3.6383,          0.00096102,             0.01749,          0.00050683,          9.7189e-05,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              4.8245,               3.436,              3.6905,           0.0036742,            0.082836,           0.0022205,          0.00032176,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,               4.686,              3.2905,              3.5718,            0.037733,             0.76696,             0.10544,            0.027215,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              4.3916,              3.2461,              3.4703,           0.0029762,            0.064413,           0.0024373,           0.0005075,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              4.1508,              3.1936,              3.3353,            0.015549,             0.29837,             0.01419,           0.0024142,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              4.1428,              3.0603,               3.274,           0.0048364,             0.13359,           0.0029886,          0.00058911,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              4.0936,              2.9849,              3.1813,           0.0053327,             0.22222,           0.0045777,          0.00091917,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              4.1982,              3.0553,              3.1286,             0.01767,             0.24571,            0.032592,           0.0050958,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              3.9377,              2.8959,              3.1329,              0.1206,             0.17076,            0.063697,           0.0086427,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              3.7226,              2.8388,              2.9657,             0.07463,             0.18971,            0.072325,            0.010677,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              3.9918,              2.9372,              2.9336,           0.0069304,             0.13057,            0.004128,           0.0008375,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              3.7947,              2.8156,              2.8053,             0.12877,             0.23652,            0.072414,            0.011437,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              3.6393,              2.7926,              2.7356,            0.024625,               0.536,            0.032906,           0.0087302,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              3.7284,              2.6897,              2.6639,           0.0059226,             0.12883,           0.0038545,          0.00061559,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
