               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5613,              5.6358,              5.3504,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,               7.507,              6.0107,              5.3277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070278,           0.0032782,           0.0032782
                   2,               7.529,              5.7123,              5.3276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054934,            0.004934,            0.004934
                   3,              7.5632,              5.5745,              5.3021,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039567,           0.0065673,           0.0065673
                   4,              7.4682,              5.5073,              5.2375,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024178,           0.0081782,           0.0081782
                   5,              7.6314,              5.5267,              5.1849,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   6,              7.2449,              5.0793,              5.1368,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              6.8776,              4.9127,              5.0377,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              6.2291,              4.6709,              4.8837,           0.0049927,            0.037879,           0.0019903,          0.00037827,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              5.7724,              4.2511,              4.7032,           0.0015076,            0.017615,          0.00081815,          0.00011659,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              5.3207,              3.8602,               4.477,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              5.2757,              3.7826,               4.278,          0.00060946,            0.012626,          0.00031803,          6.2971e-05,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              4.9937,              3.8014,              4.1252,          0.00040076,           0.0075758,          0.00024881,          5.2766e-05,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              4.7788,              3.5292,              3.9734,            0.012693,             0.31564,            0.009225,           0.0016261,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              4.4556,              3.3056,               3.845,          0.00031024,           0.0073892,          0.00023169,          5.2176e-05,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              4.0812,              3.1066,              3.4784,          0.00032392,           0.0098522,          0.00015001,          2.9884e-05,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,               4.224,               3.422,               3.381,            0.013859,             0.11583,             0.01014,           0.0012442,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              3.9843,              3.0371,              3.2246,            0.031966,             0.23892,            0.031576,           0.0090256,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              3.7761,              2.8326,               3.082,             0.08928,             0.43861,            0.082613,             0.02717,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              3.5856,              2.8243,              2.8673,             0.11091,             0.53298,             0.11427,             0.03017,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              3.3808,              2.6887,              2.9401,             0.15967,             0.39159,             0.10359,            0.022292,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              3.3304,              2.6718,               2.806,             0.36713,             0.50587,             0.42484,             0.16659,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,              3.3768,              2.5495,              2.6398,             0.39258,             0.38532,             0.31433,            0.082109,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
