               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5613,              5.6358,              5.3504,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0856,              0.0016,              0.0016
                   1,              7.5013,              6.0055,              5.3366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070267,           0.0032673,           0.0032673
                   2,              7.5385,              5.7108,              5.3151,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054901,            0.004901,            0.004901
                   3,              7.5524,              5.5472,              5.2952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039501,            0.006501,            0.006501
                   4,              7.4222,              5.4766,              5.2628,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.024067,           0.0080674,           0.0080674
                   5,              7.5821,              5.5786,              5.2872,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   6,              7.5275,              5.3719,              5.2067,          0.00019616,           0.0024631,          0.00010088,          2.0175e-05,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              7.3554,              5.3556,              5.1725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              7.0783,              5.0899,              5.1194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              6.6252,              4.8215,              5.0904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              6.4794,              4.6334,              4.9611,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              6.2274,              4.4446,               4.741,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              6.0358,              4.2762,              4.5905,            0.013158,           0.0024631,           0.0066843,          0.00066843,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              5.7429,              4.1388,              4.4198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              5.3619,              4.0598,              4.3265,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,               5.001,              3.6988,              3.9971,           0.0053017,            0.032144,           0.0027861,          0.00031627,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              5.0466,              3.6085,              3.9531,             0.02151,             0.47827,            0.016233,           0.0031933,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              4.7658,              3.6501,              3.7959,            0.037912,             0.11134,            0.010637,           0.0021766,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,                4.51,              3.3691,              3.6137,          0.00019238,           0.0024631,          9.7586e-05,          9.7586e-06,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              4.2725,              3.1329,              3.3927,             0.13559,             0.23153,             0.20461,            0.073379,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               3.862,               2.962,              3.3881,            0.050077,              0.9296,             0.19491,            0.063847,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.7599,              2.9611,              3.3069,           0.0070833,              0.2931,           0.0074803,           0.0019171,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.6421,              3.0112,              3.0634,             0.40414,             0.68702,             0.42554,             0.14602,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.3185,              2.6486,              3.2221,             0.45468,             0.58485,             0.44043,             0.12085,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.3705,              2.8071,              2.8726,             0.51322,              0.4803,             0.04385,            0.020198,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.2537,              2.6025,              2.8082,              0.5284,             0.58729,             0.50788,             0.15153,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.1009,              2.4467,              2.6814,             0.49402,             0.60715,             0.44297,            0.093696,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.1783,              2.5181,              2.6043,             0.63064,             0.68072,             0.58192,             0.20011,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
