               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.6113,              5.8475,              5.4726,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              7.7866,              6.7252,              5.4081,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              7.8545,              6.1227,              5.3528,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              7.6197,               5.816,              5.2624,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              7.4873,              5.8815,              5.2233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              7.7378,              5.8601,              5.2204,          0.00071874,           0.0025253,          5.2802e-05,          2.1121e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              7.6618,              5.6789,              5.2161,          0.00047259,           0.0025253,          4.5337e-05,          1.3601e-05,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              7.5645,              5.7772,              5.2261,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              7.5017,              5.5134,              5.2014,          0.00012104,           0.0025253,          6.1095e-05,          6.1095e-06,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              7.4898,               6.768,              5.0724,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              7.5718,              5.5523,              5.1524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              7.4443,              5.3971,              5.0563,          0.00010677,           0.0025253,          5.3672e-05,          5.3672e-06,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              7.3054,              7.0993,              4.7878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              6.4304,              4.8929,              4.7633,          0.00023093,           0.0025253,          5.0888e-05,          5.0888e-06,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               5.882,              4.1827,              4.5385,          0.00012588,           0.0025253,           6.357e-05,           6.357e-06,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,               5.693,              3.9841,              4.2891,           0.0012003,            0.024879,          0.00062321,          0.00012576,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              5.5105,              4.4789,              4.1459,            0.022587,              0.4671,             0.04327,            0.012807,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              5.2988,              4.2352,              3.9676,            0.052971,             0.84218,              0.1386,            0.034486,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              4.9214,              4.6695,              3.8493,            0.020513,             0.24745,            0.017756,           0.0060403,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              4.7613,              3.6077,               3.592,            0.062371,             0.18451,            0.047815,            0.015153,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              4.4177,              3.2152,               3.561,             0.27155,              0.2635,             0.19869,            0.063978,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              4.3159,              3.2044,              3.4401,              0.2558,             0.37306,             0.19111,            0.055829,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.9996,              2.9088,              3.2932,            0.015175,            0.012315,           0.0012696,           0.0002855,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.7748,              2.9291,               3.352,            0.013704,           0.0098522,           0.0024098,           0.0003828,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.6214,              3.2165,              3.1314,           0.0016529,            0.014778,          0.00086028,          0.00012779,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.6214,              3.0442,              3.1405,             0.49937,             0.45679,             0.39805,             0.11068,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
