               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5692,              6.8375,              5.4241,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,               6.445,              5.0676,              4.4436,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              5.0448,              3.6672,              3.9373,            0.000476,           0.0099144,          0.00023229,           3.423e-05,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              4.7089,              3.4597,              3.6787,            0.016591,             0.16091,           0.0084659,           0.0032851,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              4.6994,              3.4052,              3.5485,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              4.3331,              3.1265,              3.3012,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.0964,              3.0166,              3.1264,          0.00046115,           0.0098522,          0.00024139,          2.4139e-05,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              3.8016,               2.998,              3.1536,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              3.6084,              2.7879,              3.0071,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.6692,               2.722,              2.8667,          0.00022046,           0.0049261,          0.00011391,          1.7059e-05,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.4223,              2.7687,              2.8702,            0.048608,             0.72235,             0.06826,            0.021153,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.4208,              2.7159,              2.8158,             0.62044,             0.25947,             0.15173,            0.038662,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,               3.383,              3.0231,              2.6416,             0.52576,            0.076355,            0.017436,           0.0033383,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.3916,              2.6549,              2.6103,             0.58126,             0.35222,              0.1444,            0.033249,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              3.0945,              2.5793,              2.5676,             0.11353,             0.40496,              0.1015,            0.028039,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
