               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5702,              6.8679,              5.4224,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              6.3475,              5.4285,              4.4155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              5.3777,              6.0247,               3.944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,               5.263,              4.5844,               3.707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              5.2379,              4.0056,               3.711,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              4.9187,              3.5625,              3.4125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              5.0047,              3.4952,              3.2868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.8584,              3.6504,              3.3089,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              4.7865,              3.7735,              3.2458,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              4.9371,              3.3235,              3.1742,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              4.5947,              3.2412,              3.0786,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              4.5029,              3.3423,              3.0576,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              4.4652,              3.4994,              2.9394,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               4.454,              3.1652,              2.8755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              3.9316,              3.0548,              2.7387,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              3.8885,               3.057,              2.6835,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              3.9798,              3.1705,              2.6698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              3.8591,              3.0411,              2.4864,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              3.7298,              3.2747,              2.5078,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              3.5886,              2.9056,                2.36,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,                3.47,              2.9007,              2.2847,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               3.506,              3.0209,              2.2806,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.4011,              2.8708,              2.2313,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.3414,              2.8687,              2.2583,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.2976,              2.9146,              2.1848,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.3046,              2.7886,              2.1254,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.2273,              2.6926,              2.0563,            0.018519,           0.0049261,           0.0094852,          0.00094852,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.1715,               2.647,              2.0262,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              3.1247,              2.6059,              1.9754,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,               3.228,              2.6691,              2.0125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              3.1684,              2.6436,              1.9707,            0.009901,            0.010101,           0.0052302,           0.0019575,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              3.1253,              2.5668,              1.8882,           0.0090912,            0.035229,           0.0049372,           0.0014271,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              3.1341,              2.5611,              1.9095,            0.015966,             0.24439,            0.010637,           0.0023627,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              3.1325,              2.5872,               1.896,            0.021842,            0.035043,             0.01486,           0.0036935,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              3.0267,              2.4834,              1.8803,           0.0084122,             0.07052,           0.0047588,          0.00080121,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              3.0516,              2.5474,                1.88,            0.025199,             0.28458,            0.017207,           0.0033863,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              3.1853,              2.6018,              1.9211,             0.15883,             0.18332,              0.1033,            0.027286,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              3.0479,               2.494,              1.8802,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.9603,              2.4316,              1.8195,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              3.0068,              2.4944,              1.8434,            0.080831,             0.25852,            0.055787,             0.01127,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.9751,              2.4521,              1.8136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
