               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5282,              6.5547,               5.429,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,                6.57,               4.877,              4.4843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              5.2982,              4.1837,                3.98,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              4.8477,              3.5011,              3.7257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              4.6125,              3.2768,              3.5501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              4.4899,              3.5186,              3.3495,          0.00033883,           0.0098522,          0.00024842,          6.6374e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.1674,              3.0403,              3.0736,             0.12064,             0.10426,            0.038519,            0.010037,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              3.8046,              3.2321,              3.0421,           0.0057986,           0.0099144,           0.0012394,          0.00019215,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              3.6685,              2.9355,              2.9475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.6071,              2.7955,              2.7763,           0.0032854,             0.11823,           0.0023694,          0.00034924,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.4616,              2.8726,              2.7984,          0.00011972,           0.0049261,          6.0621e-05,          1.2092e-05,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.5061,              2.8513,              2.7818,             0.65208,             0.23645,             0.21025,            0.064178,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              3.4474,               2.939,              2.5892,             0.65516,             0.31034,             0.29151,             0.11407,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
