               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               7.526,              6.5645,              5.4309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              6.5758,              5.5588,              4.4858,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              5.8197,              5.3446,              4.0143,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              5.7686,              4.7217,              3.9177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              5.1804,              3.8771,              3.6725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,               5.014,              4.0883,              3.4736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.9685,               3.733,              3.2712,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.7931,              3.5881,              3.2639,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              4.7794,              4.1971,              3.2638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              4.7401,              3.3838,              3.1091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              4.5712,              3.3403,              3.1125,          0.00060291,           0.0073892,          0.00021954,          4.3313e-05,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               4.506,              3.3158,              3.0563,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              4.6222,              3.6222,              2.9576,           0.0048126,             0.07174,           0.0029372,          0.00045785,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              4.4777,              3.2803,              2.8707,          0.00069322,           0.0024631,          0.00025969,          5.9397e-05,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              4.3136,              3.2408,              2.9166,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              4.1807,              3.1201,              2.7599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              4.2824,              3.1534,              2.7014,            0.026484,             0.14133,            0.012703,            0.002075,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              4.1839,              3.1158,              2.5759,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              3.9238,               3.326,              2.5565,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              3.8345,              2.9381,              2.4272,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              3.7873,              2.9037,               2.452,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.8493,              2.9486,              2.4428,          7.4184e-05,           0.0025253,          3.7735e-05,           7.547e-06,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.7312,              2.8466,               2.437,           0.0081131,             0.18332,           0.0049502,           0.0010905,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.5908,               2.844,              2.4755,            0.023408,             0.46886,            0.020415,            0.005965,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.5466,              2.9286,              2.3757,           0.0071245,             0.14613,           0.0044135,          0.00079376,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.5029,              2.8144,              2.3478,            0.022035,            0.060357,           0.0061809,          0.00082283,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.5161,              2.7687,              2.3113,            0.011966,              0.1547,           0.0096095,           0.0015188,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.4485,              2.6869,              2.2543,           0.0090256,             0.17453,           0.0087651,           0.0012616,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               3.419,              2.6697,              2.2364,           0.0033943,            0.070209,            0.002381,          0.00027511,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,               3.446,              2.7518,              2.2324,           0.0099056,           0.0049261,            0.004004,          0.00043261,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              3.4006,              2.6593,              2.2417,             0.12864,             0.21035,             0.10701,            0.019296,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              3.3463,              2.5979,              2.1571,             0.11988,             0.31898,             0.12655,            0.022069,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,               3.323,              2.6173,              2.1906,            0.062221,             0.15025,            0.051045,           0.0064287,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              3.3367,               2.661,                2.16,             0.19281,             0.54828,             0.22723,            0.048888,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,               3.143,              2.5625,              2.1123,               0.177,             0.65344,             0.30777,             0.07675,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,                3.24,              2.6171,              2.1277,             0.18867,             0.68091,             0.32232,            0.077729,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              3.3297,              2.6923,              2.1536,             0.26512,             0.66024,             0.35231,            0.092658,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              3.2282,              2.6514,              2.1512,             0.64054,             0.41133,             0.34659,            0.094719,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              3.0381,              2.4987,              2.0702,             0.54633,             0.15764,            0.067029,           0.0099364,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              3.1341,              2.5575,              2.1041,           0.0031733,            0.065159,           0.0018202,          0.00021855,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,               3.107,              2.5272,              2.0411,           0.0037369,            0.075073,           0.0021936,          0.00024543,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              3.0325,               2.496,              2.0874,           0.0027156,            0.054996,           0.0014915,          0.00017177,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
