               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.6181,              7.8546,              5.5317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,               6.928,              5.6182,              4.5533,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              5.5033,              3.6791,              4.1033,            0.050593,              0.1654,            0.031073,           0.0069162,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              5.0529,              3.6443,              3.9279,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              4.9531,              3.5254,              3.8018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              4.7513,              3.2405,              3.5058,          0.00011905,           0.0024631,          6.0225e-05,          1.8068e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.7527,              3.0942,              3.3333,           0.0082143,             0.17225,            0.005117,          0.00077499,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.3801,              3.1192,              3.2599,             0.02013,             0.42059,            0.019658,            0.002834,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,               4.112,              3.0419,              3.1954,            0.026415,             0.55146,            0.021656,           0.0036217,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              4.1235,              2.8539,              3.0878,            0.041253,             0.28923,            0.034765,           0.0052701,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.7174,              2.9129,               3.024,           0.0043346,            0.044708,           0.0060645,           0.0015542,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.6962,              2.8027,              3.0138,           0.0025081,            0.022167,           0.0036957,          0.00050474,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              3.7158,              2.9913,               2.867,           0.0077938,              0.1085,           0.0045409,          0.00075916,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.6873,              2.8081,              2.8513,             0.18197,             0.40147,             0.24306,            0.086961,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               3.336,              2.6525,               2.848,             0.19796,             0.59093,             0.29293,            0.083326,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              3.2611,              2.5458,              2.7185,             0.19495,               0.367,              0.3798,            0.093287,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              3.3995,              2.7328,              2.6476,              0.3186,             0.59648,             0.39709,             0.11426,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,               3.373,               2.686,               2.534,            0.034333,             0.59358,            0.049854,           0.0084377,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,               3.367,                3.26,              2.5982,             0.40754,             0.35296,             0.25251,            0.082198,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              3.2226,               2.484,              2.3807,             0.62459,             0.38177,             0.35084,             0.12015,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              3.1316,              2.4376,              2.4203,            0.044542,             0.79854,             0.16064,            0.045444,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.2073,              2.5491,              2.3721,            0.055538,             0.37864,            0.037026,           0.0070555,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.1834,              2.5492,              2.3957,             0.49083,             0.49741,             0.51472,             0.19454,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.0318,              2.4438,               2.489,              0.3983,             0.65671,             0.57314,             0.20018,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.0434,              2.6147,              2.4286,             0.47532,             0.63786,             0.56281,             0.14621,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,               3.001,              2.3573,              2.3567,             0.22447,              0.5624,             0.28748,            0.066591,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.8897,              2.2768,              2.2352,              0.1127,             0.43098,             0.19217,            0.048172,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.9217,              2.2152,              2.1777,            0.038787,             0.25979,            0.050239,           0.0092163,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              2.8566,              2.1505,              2.1312,             0.39504,             0.35576,             0.32525,            0.071052,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.8783,              2.2888,              2.1529,             0.69475,             0.72316,             0.70215,             0.25414,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.8871,              2.2505,              2.1472,             0.64256,             0.56935,             0.64972,             0.28604,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.7928,              2.1394,                2.04,             0.56758,             0.63485,             0.66274,             0.31868,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.7689,              2.1724,              2.0691,             0.42918,             0.44529,              0.4611,              0.1605,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.7148,              2.1502,              2.0333,             0.43428,             0.36225,             0.43261,             0.14935,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.7076,              2.0118,              2.0146,             0.68017,             0.76331,             0.73593,             0.27492,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.7012,              2.0725,              1.9874,             0.74314,             0.77886,             0.76539,             0.41409,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.8821,              2.1716,              2.0815,            0.018138,             0.25234,            0.015991,           0.0030275,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,               2.673,              2.0863,              2.0374,             0.50707,             0.48542,             0.46113,             0.15192,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.5933,              2.0416,              1.9758,             0.76175,             0.78389,             0.74499,             0.38222,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.6495,              2.0068,              1.9852,             0.75977,             0.80038,             0.76036,             0.40579,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.5779,               1.967,              1.8905,             0.77349,              0.8102,             0.77451,             0.41676,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.5338,               1.919,              1.9569,              0.5396,             0.28028,               0.368,             0.12837,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.5165,              1.9263,              1.9008,              0.7117,             0.75851,             0.75508,             0.40408,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.5286,              1.8994,              1.8945,             0.69307,             0.77717,             0.71731,             0.37637,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.4211,              1.8273,              1.9037,             0.33741,             0.33241,             0.27028,            0.061937,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.6569,              1.9189,              1.8735,             0.72468,             0.78834,             0.73855,              0.3815,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.4403,              1.7818,              1.8038,             0.71634,             0.80335,             0.74028,             0.41332,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.4232,              1.7789,               1.844,             0.65859,             0.74215,             0.74232,             0.38101,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.4149,              1.7887,               1.795,             0.48237,             0.58575,             0.53966,             0.21908,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.4332,              1.7938,              1.8297,             0.75269,             0.76929,             0.76388,             0.41267,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.4043,              1.7915,              1.8815,             0.73544,             0.77768,             0.75633,             0.38505,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.5054,              1.8562,              1.8815,             0.72689,             0.80427,             0.77681,             0.41616,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.3572,              1.7536,              1.8135,             0.68537,             0.67918,             0.74149,             0.42159,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.4059,              1.7575,               1.758,             0.79396,             0.76183,             0.79548,             0.45734,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.2723,              1.6712,              1.6883,             0.79468,             0.77655,             0.81997,             0.45296,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.2407,              1.6887,              1.8116,             0.79645,             0.80533,             0.82223,             0.42796,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.3157,              1.7469,              1.8106,             0.77539,             0.75848,             0.79203,             0.40285,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.2664,              1.6678,              1.7135,             0.73756,             0.78186,             0.76904,             0.40031,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.2292,              1.6596,              1.7821,             0.75754,             0.75106,             0.77657,             0.45634,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.2744,               1.637,              1.7247,             0.79452,               0.789,             0.80915,             0.49033,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.2271,              1.6221,              1.8094,             0.78959,             0.82441,             0.81938,             0.51064,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.2422,              1.6623,              1.8081,             0.76829,              0.8199,             0.81397,             0.46135,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.2263,              1.6284,               1.746,             0.67952,             0.68455,             0.70097,             0.36716,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.2901,              1.6335,              1.6919,            0.030985,             0.54247,            0.063652,            0.012107,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.2293,              1.6148,              1.6622,             0.25124,             0.19467,             0.15625,            0.051567,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.4032,              1.8107,              1.7641,             0.48324,             0.43042,             0.38365,             0.14541,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              2.3023,              1.6662,              1.7156,             0.69498,             0.75976,             0.76231,             0.45829,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.2968,              1.6641,              1.7544,             0.71163,             0.76302,             0.76302,             0.43295,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.3584,              1.7709,              1.7427,             0.80846,             0.75584,             0.80528,             0.49964,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.1499,              1.5571,               1.676,               0.801,             0.79159,             0.82925,             0.48932,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              2.1043,              1.5231,              1.6634,             0.79795,             0.84151,             0.84342,             0.54991,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.1141,              1.5324,              1.6408,             0.83148,             0.81247,             0.84432,             0.56037,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.1803,              1.5666,              1.6543,              0.5726,             0.41602,             0.44499,             0.18254,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              2.1558,              1.5583,              1.6084,               0.633,             0.61322,             0.63722,             0.34188,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              2.1258,              1.5415,              1.6198,             0.83359,             0.79404,             0.82965,             0.53742,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,               2.102,              1.5076,              1.6109,             0.80216,             0.81168,             0.83079,             0.54298,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              2.1081,              1.4948,              1.5597,             0.80118,             0.78445,             0.80525,              0.5109,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              2.0106,              1.5065,              1.6226,             0.59931,             0.46958,             0.51539,             0.21978,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              2.0759,              1.5185,              1.6754,             0.74039,             0.69261,             0.78158,              0.4808,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,               2.049,              1.4793,              1.6235,             0.84032,             0.81286,             0.84616,             0.56101,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              2.0843,               1.486,               1.559,              0.8346,             0.83741,             0.84623,             0.56161,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              2.0532,              1.4451,              1.5567,             0.81596,             0.85441,              0.8372,             0.55445,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              2.0675,              1.4734,              1.5897,             0.81842,             0.85416,             0.83529,             0.56234,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.9567,              1.4405,              1.5824,             0.81938,             0.84708,             0.84225,             0.55241,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              2.0329,              1.4998,              1.6781,             0.80857,             0.80515,             0.82156,             0.53133,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.8774,              1.4357,              1.6213,             0.78836,              0.8355,             0.80881,             0.51419,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.8321,              1.3764,              1.6424,             0.81071,             0.83779,             0.84074,             0.54762,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.8502,              1.3483,              1.6072,             0.79478,             0.86209,             0.84995,             0.56355,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.8218,               1.324,              1.6307,             0.79175,             0.82084,             0.84339,             0.54852,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.8094,                1.33,              1.5807,             0.83193,             0.79094,             0.83077,             0.52705,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.7838,              1.3225,              1.6098,             0.84305,             0.80237,             0.84199,              0.5376,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.8152,              1.3204,              1.6287,             0.79713,             0.83996,             0.84881,             0.55016,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.7271,              1.2854,              1.6574,             0.81196,             0.82347,             0.85216,             0.54715,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,               1.697,              1.2481,              1.5876,             0.84528,             0.79244,             0.84666,             0.54331,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.6883,              1.2362,              1.5674,             0.83149,             0.79972,             0.84336,             0.55352,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.7797,              1.2638,              1.4883,             0.80587,             0.83004,             0.84368,              0.5518,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.6983,              1.2321,              1.5522,             0.82758,              0.7815,             0.83659,              0.5469,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.7202,              1.2316,              1.5104,             0.81637,             0.80292,             0.83978,             0.55316,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.6836,              1.2086,              1.4914,             0.83198,             0.80039,             0.84398,              0.5622,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.6775,              1.1909,              1.5173,             0.84037,             0.80003,             0.84755,              0.5656,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
