               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.6418,              5.8846,              5.5888,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              7.8072,              6.9781,              5.5433,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              7.8879,              6.2117,              5.5255,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              7.6576,              5.8464,              5.4369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,               7.522,              5.9602,              5.3978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              7.7588,              5.9391,              5.3313,          0.00029362,           0.0025253,          0.00014546,          2.9092e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              7.6764,              5.7549,              5.2799,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               7.586,               5.967,              5.3313,           0.0003117,           0.0049883,          0.00015765,          2.3334e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              7.5279,              5.5867,              5.2708,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              7.5376,              6.9045,              5.1045,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              7.6022,              5.5699,              5.1691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              7.4971,              5.4784,              5.0887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              7.3646,               6.809,              4.8165,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              7.1421,              5.0175,              4.8273,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               6.715,              4.2292,              4.6277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              6.8212,              4.3195,              4.4756,            0.042791,             0.16995,            0.030708,           0.0037196,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,                6.48,               4.681,              4.3014,            0.081041,             0.55128,            0.091781,            0.025349,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              5.8123,              5.4401,               4.136,            0.029547,             0.58746,            0.028163,           0.0046574,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              5.5075,               4.662,              3.9992,            0.079008,             0.20506,            0.068895,            0.021109,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              5.3609,              3.7577,              3.7514,            0.081674,             0.31567,            0.075159,            0.019052,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               5.013,               3.429,              3.6749,             0.01034,            0.093845,           0.0055027,          0.00084743,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              4.9399,              3.6555,              3.6059,             0.23966,             0.63473,             0.26639,             0.10896,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              4.6966,              3.2852,              3.4625,          9.7907e-05,           0.0024631,          4.7872e-05,          4.7872e-06,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              4.4002,              3.2273,              3.5773,          0.00047723,           0.0099766,          0.00029555,          4.6664e-05,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              4.3179,              3.4545,              3.4351,           0.0062856,             0.13375,           0.0037409,          0.00054422,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,               4.324,              3.3088,              3.4688,             0.10387,             0.49061,            0.091452,            0.018509,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              4.1853,              3.0488,              3.3009,            0.043022,             0.90195,             0.11549,            0.034012,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              4.0759,              2.9943,              3.1728,            0.087187,             0.83137,             0.20265,            0.065935,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              3.9433,               2.876,              3.0774,             0.21629,             0.47038,             0.26264,            0.084863,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              3.8804,               3.073,              3.1384,              0.1778,             0.71922,             0.23496,            0.060957,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              3.6731,              2.8531,              3.0456,            0.015105,             0.35118,            0.011265,           0.0020733,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              3.6159,              2.7549,                2.93,            0.030802,              0.5596,            0.052821,           0.0087645,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              3.5443,              2.7362,              2.9444,            0.032013,             0.59477,            0.047353,            0.009034,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              3.4899,              2.7608,               2.897,             0.40982,             0.70831,             0.42422,              0.1514,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              3.4447,               2.563,              2.7678,              0.4115,             0.69095,             0.43737,             0.13855,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              3.3662,              2.7378,              2.7304,             0.32273,             0.39929,             0.29466,             0.10629,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              3.4415,              2.7546,              2.7922,             0.17249,             0.28785,             0.17561,            0.047598,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              3.2498,              2.4788,              2.7031,             0.43584,             0.75081,             0.59627,             0.15056,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              3.2068,              2.4473,              2.6329,             0.20175,             0.28343,             0.17685,            0.038051,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,               3.147,              2.4274,              2.6272,             0.54227,             0.75776,             0.67167,             0.31656,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              3.0882,              2.3651,              2.4791,             0.49235,             0.67979,             0.60475,             0.22374,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.9114,              2.2408,              2.5789,             0.49483,             0.70561,             0.60286,              0.2052,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              3.0658,              2.2693,              2.4738,             0.63261,             0.71299,             0.69814,             0.27864,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.9467,              2.2155,               2.512,             0.62802,             0.68805,             0.66335,             0.21707,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.7223,              2.1038,              2.4228,              0.3424,             0.33639,             0.24058,            0.055571,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,               2.921,              2.1771,              2.3985,             0.76486,             0.72477,             0.80962,             0.38539,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.7896,              2.0886,              2.2899,             0.74993,             0.79608,             0.83157,             0.44878,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.7358,              2.0325,              2.3205,             0.76897,             0.78364,             0.82675,              0.4177,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.7757,              2.0206,              2.2713,             0.74556,             0.73488,             0.77049,             0.39166,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.7211,               1.971,              2.2659,             0.71113,             0.75427,             0.74464,             0.28796,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.6401,              1.9758,              2.3081,             0.69619,             0.72069,             0.70618,             0.22833,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.7247,              2.1901,                 2.3,             0.77143,             0.71171,             0.77311,             0.36683,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.5951,              1.9645,              2.2103,             0.78481,             0.74029,             0.79984,             0.36768,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.7247,              1.9679,              2.1603,             0.82481,             0.81949,             0.83324,             0.38272,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.5545,              1.7866,              2.0746,             0.74729,             0.74522,             0.78512,             0.37106,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,               2.473,              1.7694,              2.2227,             0.80606,              0.7766,             0.81171,             0.41833,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.5469,                1.83,              2.1982,             0.53099,             0.58185,             0.61474,             0.26177,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.4644,              1.7738,              2.0264,             0.80055,             0.80525,             0.81435,             0.41849,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,               2.432,               1.738,               2.102,             0.78922,             0.82819,               0.825,              0.5062,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.4002,              1.7243,              1.9868,             0.78741,             0.80017,             0.82769,             0.48152,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.3012,              1.6718,              2.0762,             0.79155,             0.82193,             0.82816,             0.49654,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.3423,              1.7115,              2.0655,             0.78634,             0.80392,             0.82307,             0.49902,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.3309,              1.6937,               2.013,             0.80208,             0.83302,             0.84299,             0.51983,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.4278,               1.722,              1.9432,             0.80703,             0.81792,             0.83434,              0.5007,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.3939,              1.6989,              1.9079,             0.79439,              0.8318,             0.82998,             0.47045,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.4738,              1.9187,              1.9881,             0.75245,             0.80013,             0.82629,             0.52817,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              2.2952,              1.6555,              1.8905,             0.77636,             0.84695,             0.83918,             0.50935,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.2315,              1.6109,              1.9121,             0.78537,             0.85355,             0.84605,             0.51368,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.4137,              1.7984,               1.942,             0.81295,              0.8364,             0.84908,             0.45655,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.1893,              1.5341,              1.8553,             0.82722,             0.83708,             0.85561,             0.50373,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,               2.177,              1.5196,              1.8548,             0.81314,             0.83037,             0.84911,             0.50226,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.1419,              1.5248,              1.8116,             0.82098,             0.83935,              0.8458,              0.4689,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.2787,              1.5862,              1.8388,             0.83668,             0.85015,             0.85524,             0.46744,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              2.2354,              1.5625,              1.7601,             0.84403,             0.84643,             0.84986,             0.46149,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,               2.255,              1.5529,              1.7837,             0.82184,             0.85372,             0.85369,             0.50622,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              2.1871,              1.5289,              1.7512,             0.82995,             0.86204,             0.86482,             0.55312,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              2.2042,              1.5195,              1.6913,             0.81921,             0.86457,              0.8599,             0.53768,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              2.0832,              1.5173,               1.769,              0.8178,             0.86709,             0.85365,             0.56647,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              2.1278,              1.5306,              1.8214,             0.81683,             0.85699,              0.8574,             0.52146,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              2.1126,              1.4806,              1.7719,             0.81856,             0.86709,             0.86518,             0.57637,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              2.1624,              1.5042,              1.6982,             0.83001,             0.84673,             0.85576,             0.57266,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              2.1382,              1.4616,              1.6796,             0.83975,             0.84474,             0.86001,              0.5589,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              2.1086,              1.4853,              1.7168,             0.84317,             0.83763,             0.86143,             0.54845,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.9747,              1.4497,              1.6948,             0.80431,             0.86229,             0.85449,             0.57036,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              2.0607,              1.5117,              1.8061,             0.81634,             0.85534,             0.86436,             0.55395,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.8285,              1.4692,              1.7236,             0.80565,             0.86219,             0.86611,             0.54198,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.8157,              1.3989,              1.7482,              0.7938,             0.85688,             0.86763,             0.55622,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.8315,              1.4098,               1.725,             0.79562,             0.85159,             0.86508,             0.54855,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.8214,              1.4093,              1.7583,             0.80082,              0.8525,              0.8518,             0.55769,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.8186,              1.3984,              1.6955,             0.81653,             0.86792,             0.86808,             0.57701,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.7211,              1.3593,              1.6875,             0.80242,               0.868,             0.86293,             0.57546,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.7583,              1.3511,              1.7297,             0.82447,             0.85699,             0.85956,              0.5774,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.6568,              1.3186,              1.7225,             0.81175,             0.86628,             0.85633,             0.56806,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.6849,              1.2898,              1.6668,             0.81452,             0.85706,             0.85874,             0.57746,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.7057,              1.3028,              1.6525,             0.80614,             0.87542,             0.85916,             0.56826,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.8067,              1.3395,              1.5982,             0.81355,             0.85257,             0.85726,             0.57432,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.7208,              1.2908,              1.6497,             0.82209,             0.84124,             0.85497,             0.56618,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.7207,              1.2701,               1.596,             0.81883,             0.83741,             0.85506,             0.56882,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.7135,               1.277,              1.5822,             0.82276,             0.83625,             0.85854,             0.57095,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.7037,              1.2521,              1.6062,             0.81539,             0.83483,             0.85517,             0.57004,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
