               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.0279,              5.2544,              4.9296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              5.1902,              3.7523,              4.0585,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              4.7346,              3.4117,              3.7597,           0.0028366,            0.073892,           0.0016525,          0.00055421,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              4.4417,               3.256,              3.4626,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              4.0789,              3.2709,              3.3245,           0.0010714,            0.044335,           0.0006231,          0.00017318,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              3.9473,              3.1465,              3.1622,          0.00017857,           0.0073892,           9.186e-05,          1.2177e-05,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              3.7767,              2.8844,              2.9193,          0.00029762,            0.012315,          0.00017086,          4.3549e-05,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              3.5953,              2.9716,              2.9451,          0.00056227,            0.014778,          0.00018964,          2.4981e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              3.3834,              2.8207,              2.8238,          0.00036837,            0.014778,           0.0002082,           4.734e-05,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.3201,               2.732,              2.6694,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.2335,              2.8586,              2.7127,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.2049,              2.7848,              2.6577,            0.075854,             0.85428,             0.17422,            0.072308,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              3.2553,              2.9326,              2.4923,           0.0023585,            0.017241,           0.0017704,          0.00040666,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.1957,              2.6568,              2.4561,             0.11607,             0.92437,             0.26738,              0.1072,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              3.0068,              2.6202,              2.4652,             0.27658,             0.40425,             0.29569,             0.11771,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.9687,              2.5316,               2.343,            0.099593,             0.79929,             0.16946,            0.059438,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              3.0503,               2.653,              2.2634,             0.43228,             0.45635,             0.37702,             0.15528,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              3.0395,              2.5532,              2.2041,             0.19846,             0.78532,             0.37856,              0.1639,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              3.0064,              2.8825,               2.261,             0.20008,             0.77294,             0.33652,             0.14737,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.8699,              2.4703,              2.0957,             0.23117,             0.68406,             0.28497,             0.11503,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.8434,              2.4448,              2.1506,             0.29822,             0.82588,              0.4218,             0.18219,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               2.923,              2.4658,              2.1542,            0.094015,             0.48383,             0.08075,             0.01685,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.9131,              2.4482,               2.187,             0.86917,             0.44581,             0.62883,             0.32349,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.7319,              2.3855,              2.2313,             0.86567,             0.41626,             0.59716,             0.30587,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.7776,              2.5686,              2.1833,            0.063412,             0.59177,            0.059998,            0.011659,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.7635,              2.4669,              2.1574,             0.58144,             0.55429,              0.7136,             0.33807,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.7364,              2.2563,              2.0816,             0.54112,             0.75555,             0.74049,             0.34523,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.7124,              2.1965,              2.0149,            0.054719,             0.55894,             0.15265,            0.024635,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               2.766,              2.1766,              2.0413,             0.54542,             0.33068,             0.21642,            0.038758,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.7731,              2.2204,              2.0398,             0.35605,             0.68272,             0.41901,             0.13582,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.6843,              2.1735,              2.0077,             0.58859,             0.76223,             0.72427,             0.34199,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.6328,              2.0535,              1.9126,             0.50551,             0.58128,             0.52001,             0.23177,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.6245,              2.0704,              1.9521,             0.42156,             0.52953,             0.45372,             0.15773,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,               2.649,              2.0556,              1.9362,             0.48379,             0.59336,             0.54099,             0.22268,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.5082,              1.9344,              1.8803,             0.65034,             0.76608,             0.75304,             0.40954,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.5373,              2.0203,              1.8624,             0.66597,             0.73877,             0.75754,             0.40061,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.6981,              2.0855,              1.9451,             0.71192,             0.66389,             0.74585,             0.38219,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.5487,              1.9655,              1.9163,             0.49499,             0.39521,             0.33922,             0.11632,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,               2.478,              1.9783,               1.867,             0.58236,             0.55819,             0.59715,             0.23019,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.5581,              2.0086,              1.8961,             0.61089,             0.76675,             0.75667,             0.32478,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,               2.501,              1.9096,              1.8283,             0.69638,             0.82025,              0.7892,             0.42824,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.4466,              1.8689,              1.8946,             0.60636,             0.78483,             0.76748,             0.39926,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.4809,              1.9319,              1.8749,             0.57934,             0.57663,             0.55362,              0.1915,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.6017,              2.0166,              1.9161,             0.72049,             0.70671,             0.72756,              0.3743,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.3592,              1.8413,              1.8815,             0.66682,             0.74294,             0.75231,             0.38428,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.5295,              1.8674,              1.8298,             0.75784,             0.77718,             0.79386,             0.43771,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.3457,               1.782,               1.762,             0.46324,             0.66911,             0.65853,             0.31007,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.4291,              1.7991,              1.8327,             0.45634,             0.67905,             0.64781,             0.27246,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,               2.393,              1.7671,              1.7876,             0.79983,             0.78744,             0.81874,             0.44515,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.4054,              1.7573,               1.781,             0.59238,             0.63377,              0.6606,             0.28625,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.3404,              1.7932,              1.8377,             0.72783,             0.75174,              0.7052,             0.36303,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,               2.396,              1.8905,              1.8187,             0.70641,             0.76328,             0.76425,             0.41338,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
