               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.9508,              5.2845,              4.9136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              5.2337,              5.1064,              3.9403,          0.00034301,           0.0075758,          0.00017565,          1.7565e-05,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,               4.868,              3.8849,               3.594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,               5.014,              3.7237,              3.4808,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              5.0164,              3.9633,              3.5007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              4.6068,              3.8725,              3.2248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.3661,              3.4424,              3.0079,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.2178,              3.6979,              2.9774,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              4.0305,              3.3359,              2.7987,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.8758,              3.2035,              2.5877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.6944,              3.2222,               2.551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.7237,              3.2513,              2.5744,           0.0014547,            0.029619,          0.00079361,          0.00011735,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              3.7479,              3.2353,              2.4664,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.6805,              3.0436,              2.3289,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              3.4561,              3.0304,              2.3007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              3.4115,              2.9558,              2.2829,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              3.4842,              3.0837,              2.2133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              3.4487,              2.9512,              2.1163,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              3.4375,              3.2294,              2.1323,          0.00056803,           0.0099766,           0.0002887,          5.2273e-05,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              3.3115,              2.9314,              2.0715,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              3.2225,              2.8828,              2.0264,            0.011802,             0.24608,            0.021041,           0.0062951,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.2316,              2.8932,              1.9844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.1359,              2.7315,              1.9649,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.1504,              2.7566,              2.0172,          0.00054645,           0.0073892,          0.00027898,          4.6366e-05,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.1312,              2.8299,               1.952,            0.034871,             0.52973,               0.063,            0.015401,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.1602,              2.7596,              1.9635,             0.30203,             0.32028,             0.23504,            0.085208,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.0777,              2.6797,              1.9254,             0.23333,             0.31192,              0.1907,            0.075229,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.0107,              2.6309,              1.9021,             0.28793,             0.40739,              0.2267,            0.082089,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              2.9831,              2.5703,              1.8721,             0.39899,             0.51661,             0.38329,             0.13931,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              3.0669,              2.6317,               1.896,             0.42273,             0.41425,             0.39367,             0.15517,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.9981,              2.5894,              1.8502,              0.4034,             0.41215,             0.35015,             0.10823,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.9825,              2.5311,              1.7971,             0.38795,             0.58737,             0.44191,             0.16947,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.9495,              2.5303,              1.8019,             0.38538,             0.56026,             0.42728,              0.1636,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              3.0046,              2.5376,              1.8081,              0.2987,              0.4273,             0.26209,            0.075492,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.8781,              2.4563,              1.7932,              0.4009,             0.58256,             0.41573,             0.16007,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.8625,              2.4701,              1.7699,             0.32333,             0.61236,             0.43106,             0.17984,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,               3.011,               2.547,              1.8278,             0.37836,             0.56842,             0.47667,             0.22723,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.8792,              2.4728,              1.7967,             0.21975,             0.25761,             0.15085,            0.046139,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.8071,              2.3826,              1.7536,             0.40795,             0.49432,             0.37199,             0.10347,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.8481,              2.4322,              1.7562,            0.018079,             0.34092,            0.012758,           0.0024258,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.8012,              2.4072,              1.7097,            0.036178,             0.72353,            0.044407,            0.011559,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.7411,              2.3307,              1.7025,            0.034902,             0.73301,            0.049529,            0.015037,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.7749,              2.3747,              1.7429,             0.34642,             0.47579,             0.31286,            0.080699,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,               2.779,               2.341,              1.6923,             0.44614,             0.43296,             0.37697,             0.10394,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.6238,              2.2833,               1.703,             0.52304,             0.59044,               0.525,             0.19318,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.7965,              2.2872,              1.6577,              0.6645,              0.6267,             0.61584,             0.26812,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.6746,              2.2228,               1.651,             0.64716,             0.61792,             0.61509,             0.30667,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.6995,              2.2464,              1.6802,             0.63988,             0.60699,             0.60214,             0.24072,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.7176,               2.257,              1.6734,              0.6077,             0.61201,             0.60595,              0.2783,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.6616,              2.1938,              1.6426,             0.57297,              0.5746,              0.5898,             0.25126,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.6768,              2.2364,              1.6821,             0.31373,             0.36172,             0.24274,             0.04463,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.7926,              2.3075,              1.7068,              0.5786,             0.62131,             0.58432,             0.26019,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.6238,               2.203,              1.6371,             0.57709,             0.61193,             0.59088,             0.28248,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.6559,               2.172,              1.6229,             0.63508,             0.54817,             0.62233,             0.31661,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.5722,              2.0804,              1.5818,             0.63291,             0.59561,             0.65574,             0.34023,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.5936,              2.1057,              1.6638,             0.61749,             0.57949,             0.61544,             0.31037,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.6104,              2.1323,              1.6398,             0.62446,             0.59547,             0.60069,             0.29022,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.5437,              2.1038,              1.6125,             0.54632,             0.64484,              0.5927,             0.29427,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.5254,               2.103,              1.6111,             0.62172,             0.59667,             0.59794,             0.30172,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.5525,              2.0906,              1.6034,             0.58826,             0.60395,             0.55987,             0.23347,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,               2.469,               2.028,              1.6145,             0.54553,             0.59576,              0.5784,             0.28483,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.5214,              2.0825,              1.6359,             0.52554,             0.54013,             0.52803,               0.219,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.5179,              2.0494,              1.6116,             0.60396,             0.65901,             0.62526,             0.32704,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.6202,              2.0808,              1.6072,              0.6426,             0.63664,             0.62784,             0.33952,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,               2.555,              2.0385,              1.5596,             0.65214,              0.6407,             0.62851,               0.339,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.6088,              2.1104,              1.6258,              0.6058,             0.64699,             0.60428,             0.30359,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              2.5404,              2.0313,              1.5886,             0.65908,             0.64163,             0.63629,             0.32751,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.4882,              2.0017,              1.5624,             0.61616,             0.65656,              0.6316,              0.3127,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.6294,              2.1548,              1.5918,             0.67613,              0.6806,             0.63742,              0.3525,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.4028,              1.9158,              1.5521,             0.69687,              0.6582,             0.67187,             0.37133,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              2.3983,              1.9158,              1.5445,             0.63652,              0.6617,             0.63895,             0.31565,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.3778,              1.9071,              1.5356,             0.69657,             0.66959,             0.66776,             0.34359,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.4657,               1.944,              1.5544,             0.67643,             0.68406,             0.67821,              0.3529,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              2.4953,              1.9592,              1.5511,             0.67799,             0.68671,              0.6899,             0.38467,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              2.4279,               1.944,              1.5322,             0.68704,              0.6802,             0.69946,             0.39307,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              2.3823,              1.8953,              1.5242,              0.6947,             0.68198,              0.7093,             0.39796,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              2.4591,              1.9428,               1.527,             0.72138,             0.68897,             0.71528,              0.4133,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              2.3374,                1.91,              1.5253,             0.66436,             0.63006,             0.66821,             0.34003,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              2.4171,               1.903,              1.5705,             0.68485,             0.62527,             0.64069,             0.30467,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,               2.372,              1.8452,              1.5184,             0.69984,             0.69372,             0.69359,             0.39232,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              2.4438,              1.8934,              1.5281,             0.60912,              0.6112,             0.64226,             0.30198,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              2.3755,              1.8489,              1.4871,             0.70252,             0.67134,             0.70164,             0.40851,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              2.3953,               1.883,              1.5198,             0.59923,             0.66497,             0.65337,             0.34014,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              2.3166,              1.8561,              1.5139,             0.66285,             0.68448,             0.66832,             0.38716,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              2.3868,              1.9119,              1.5737,             0.66073,             0.69428,             0.67479,               0.372,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              2.1742,              1.8101,               1.531,             0.63487,             0.66378,             0.65316,             0.34633,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
