               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5553,              5.7194,              5.4133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,              7.7346,              6.3308,              5.3608,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041436,           0.0064357,           0.0064357
                   2,              7.8048,              5.9753,              5.2999,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011606,            0.009606,            0.009606
                   3,              7.6001,              5.6725,              5.2575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              7.3868,              5.6641,              5.2855,           0.0058318,            0.022665,           0.0017267,          0.00026042,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              7.5942,              5.6737,               5.313,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              7.4997,                 5.4,              5.2118,          0.00091269,            0.012564,          0.00040684,          5.1506e-05,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              7.2926,              5.3922,              5.1846,           0.0005059,           0.0049261,          0.00014326,          1.4326e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              7.0196,              4.8984,              5.0345,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              6.6294,               4.876,              4.8044,           0.0012048,           0.0024631,          0.00011616,          1.1616e-05,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              5.8578,              4.2183,              4.6464,          0.00019357,           0.0024631,          6.6372e-05,          6.6372e-06,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              5.6671,              4.0815,              4.4591,             0.50576,            0.012315,          0.00085476,          0.00016034,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              5.4326,              4.6245,              4.2692,          0.00057004,            0.012377,          0.00028957,          5.3833e-05,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              5.1491,              3.8836,              4.2201,            0.011001,              0.2039,           0.0077952,           0.0013888,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              4.4464,              3.3499,              3.9845,            0.053707,             0.10753,            0.028553,           0.0053687,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              4.2856,              3.2819,              3.6762,            0.039592,             0.80901,            0.043891,            0.017517,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              4.4934,              3.5263,              3.5537,             0.22973,             0.38423,             0.21836,            0.073524,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              4.1717,              3.5511,              3.4355,            0.017075,             0.16031,            0.011679,           0.0023996,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              4.0055,              4.1051,              3.4174,           0.0012009,           0.0049883,          0.00060402,          6.0402e-05,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              3.9186,              3.1065,              3.1444,           0.0018316,            0.027653,           0.0010118,          0.00013439,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              3.6811,              2.8402,              3.0978,             0.20221,            0.086704,             0.08589,            0.014769,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              3.8527,              3.1229,              3.0416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              3.4634,              2.7826,              2.9063,             0.31687,             0.48556,             0.29682,             0.08061,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              3.3925,              2.7563,              2.9541,           0.0049437,             0.10438,           0.0031073,          0.00042393,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              3.1982,              3.3019,              2.7623,             0.26727,             0.52911,             0.25299,            0.081112,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              3.2108,              2.6813,              2.7561,             0.36618,             0.50086,             0.32492,            0.077519,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              3.1527,              2.5145,              2.6054,            0.041632,             0.49163,            0.050428,           0.0086147,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              3.2115,              2.4291,              2.5351,             0.72746,             0.21717,             0.35235,             0.10412,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               3.019,              2.3544,              2.4128,           0.0024708,            0.017366,           0.0012945,          0.00012945,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,               3.052,              2.4252,              2.4381,           0.0033924,            0.080621,           0.0019361,          0.00031228,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.9373,              2.2938,              2.3831,             0.72412,             0.52539,             0.58156,             0.19094,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.9302,              2.2485,              2.2694,             0.70846,             0.63736,             0.67774,             0.27959,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.9165,              2.2115,              2.3173,             0.73638,             0.65494,             0.70183,             0.27095,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.8355,               2.206,              2.2331,             0.79496,              0.2298,             0.33923,             0.13236,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.7843,               2.067,                2.17,             0.72656,             0.68377,             0.68826,             0.25796,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.7087,              2.1466,              2.1175,             0.80219,             0.70479,             0.75499,             0.39482,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.8586,              2.1757,              2.2006,             0.55842,             0.52118,             0.53148,             0.23385,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.6934,              2.0119,              2.1389,             0.80153,             0.77923,             0.80155,             0.39384,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.5994,              1.9477,               2.077,             0.76582,             0.77466,             0.79254,             0.42343,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.6222,              1.9956,               2.073,             0.72941,             0.74191,             0.75102,             0.41086,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.5721,              1.9223,              1.9631,             0.77493,             0.76737,              0.7928,             0.43274,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.4613,              1.8027,              2.0373,               0.778,              0.7712,             0.80708,             0.43568,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.5417,              1.8402,              1.9864,             0.73535,             0.73069,             0.74864,             0.39856,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.4808,               1.781,              1.9718,             0.70302,             0.72059,             0.74776,             0.35865,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.3217,              1.6976,              1.9387,              0.7596,             0.78933,             0.78896,             0.39489,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.5562,              1.7783,              1.9022,             0.68562,             0.67903,             0.73913,             0.40493,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.3574,              1.6742,              1.8281,             0.77703,             0.80508,             0.82274,             0.44063,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,               2.296,              1.6828,              1.8624,            0.051307,             0.64641,             0.14536,            0.033924,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.3469,              1.7146,              1.8301,               0.789,             0.72172,             0.75624,             0.42247,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.3126,              1.6438,              1.8201,              0.8158,             0.78532,             0.82853,             0.44962,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.2823,              1.7227,              1.8903,           0.0035217,             0.10606,           0.0021617,          0.00044589,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.3181,              1.7729,              1.8507,              0.7805,             0.74189,             0.76005,             0.45292,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.2395,              1.6352,              1.8132,              0.7743,             0.78238,             0.79081,             0.49216,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.3655,               1.666,              1.7902,             0.80257,             0.79368,             0.83038,             0.49917,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.1811,              1.5343,              1.7094,             0.79155,             0.81393,             0.82522,             0.48051,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.1256,              1.5205,              1.8349,             0.79512,             0.82139,             0.82303,               0.515,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.1642,              1.6053,              1.8043,              0.7811,             0.84905,             0.83443,             0.53937,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.1379,              1.5169,              1.7027,             0.81956,              0.8193,             0.82936,             0.51739,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.0848,              1.4997,              1.7629,             0.72594,             0.75586,             0.78661,             0.49261,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.0869,              1.4989,              1.6822,           0.0062986,             0.15601,           0.0040149,          0.00067843,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.9936,              1.4511,              1.7632,             0.77332,             0.79428,             0.81414,             0.53981,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.0271,              1.5102,               1.767,             0.81731,             0.85545,             0.85927,             0.57653,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.0475,              1.4768,              1.7198,             0.80561,             0.84779,             0.85514,             0.55731,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.1333,              1.5196,              1.6677,             0.77388,             0.84639,             0.84385,             0.56487,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,               2.086,              1.4807,              1.6411,              0.8158,             0.83648,              0.8469,             0.55623,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.1746,              1.6437,              1.7079,             0.78776,              0.8688,             0.86763,             0.55499,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,               2.077,              1.4824,              1.6622,             0.81683,             0.85869,             0.86776,             0.57275,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.0147,              1.4423,              1.6702,             0.83059,             0.82763,             0.84999,             0.54392,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.1569,              1.5761,                1.68,             0.78119,             0.84807,              0.8398,             0.54735,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
